gap_deg,gapM_deg,e_sat,e_tgt,alt_sat_km,alt_tgt_km,da_km,hohmann_dv,evec_dv,shape_lb_dv,condition,episode,seed,success,cause,steps,decisions,best_vrel_inbox,best_vrel,best_d_km,n_inbox,n_inbox_tau1,n_fine_rad,dv_used,plan_dv,n_plans,n_burns,n_warps,n_coast,min_d_km
-137.56,97.96,0.0065,0.0093,345.3,747.8,-402.5,220.9,52.44,220.9,H16_headline_s42,86,42,1,success,1869,315,,84.3261,79.391,0,0,0,212.0,211.53,1,65,144,106,79.39
44.22,157.92,0.0294,0.0207,461.4,683.3,-221.9,121.06,158.84,158.84,H16_headline_s42,87,42,1,success,1783,189,,72.6254,69.605,0,0,0,195.0,182.11,1,45,121,23,69.61
-107.93,173.0,0.0106,0.0212,762.6,521.8,240.8,129.43,82.98,129.43,H16_headline_s42,88,42,1,success,1952,427,,57.0803,56.844,0,0,0,202.0,212.57,1,67,165,195,56.84
-74.21,-59.25,0.0497,0.0359,604.3,528.2,76.0,41.54,67.14,67.14,H16_headline_s42,89,42,1,success,1770,259,,168.4759,149.384,0,0,0,108.0,118.26,1,40,132,87,149.38
47.07,-74.31,0.0308,0.0149,712.4,601.5,110.9,59.44,153.68,153.68,H16_headline_s42,90,42,1,success,1709,238,,83.6042,77.954,0,0,0,178.0,178.16,1,38,143,57,77.95
-174.14,74.41,0.0347,0.0277,746.7,406.8,339.9,185.33,198.36,198.36,H16_headline_s42,91,42,1,success,1922,433,,73.126,70.55,0,0,0,280.0,292.32,1,71,162,200,70.55
-27.43,30.34,0.0428,0.0137,559.2,790.0,-230.8,123.2,139.34,139.34,H16_headline_s42,92,42,1,success,1376,241,,98.3616,94.844,0,0,0,158.0,153.99,1,31,154,56,94.84
-151.08,-125.4,0.0328,0.0024,739.0,503.8,235.2,126.97,116.82,126.97,H16_headline_s42,93,42,1,success,1937,443,,64.9779,62.26,0,0,0,217.0,223.95,1,80,163,200,62.26
-63.22,26.18,0.0083,0.0277,764.8,624.5,140.2,74.54,108.93,108.93,H16_headline_s42,94,42,1,success,1813,328,,82.8049,82.843,0,0,0,138.0,141.91,1,39,150,139,82.84
-159.86,112.96,0.0033,0.0173,321.7,683.9,-362.1,200.64,65.72,200.64,H16_headline_s42,95,42,1,success,1874,334,,126.553,122.881,0,0,0,192.0,192.91,1,74,126,134,122.88
