gap_deg,gapM_deg,e_sat,e_tgt,alt_sat_km,alt_tgt_km,da_km,hohmann_dv,evec_dv,shape_lb_dv,condition,episode,seed,success,cause,steps,decisions,best_vrel_inbox,best_vrel,best_d_km,n_inbox,n_inbox_tau1,n_fine_rad,dv_used,plan_dv,n_plans,n_burns,n_warps,n_coast,min_d_km
-91.38,-115.44,0.0258,0.0307,611.6,427.5,184.1,101.62,48.6,101.62,A_tight1_s7,88,7,0,safety_cap,2000,423,,9.045,10.422,0,0,0,182.0,184.81,1,83,163,177,10.42
-42.54,93.09,0.0269,0.0134,778.9,325.7,453.3,248.49,145.49,248.49,A_tight1_s7,89,7,0,safety_cap,2000,517,,10.7487,10.054,0,0,0,310.0,302.91,1,110,152,255,10.05
96.81,162.29,0.0057,0.042,497.4,605.6,-108.2,59.29,151.17,151.17,A_tight1_s7,90,7,0,safety_cap,2000,431,,4.2795,8.007,0,0,0,213.0,201.54,1,66,186,179,8.01
51.88,132.33,0.0034,0.0329,758.6,666.0,92.6,49.01,122.17,122.17,A_tight1_s7,91,7,0,safety_cap,2000,504,3.1461,3.1461,4.044,1,0,0,162.0,149.39,1,51,256,197,4.04
-58.03,-123.42,0.0019,0.0331,525.2,687.0,-161.9,87.69,121.44,121.44,A_tight1_s7,92,7,1,success,1979,439,1.5121,1.5121,2.398,3,0,0,165.0,151.99,1,53,248,138,2.4
-160.22,-72.94,0.0363,0.0342,668.9,465.2,203.6,111.24,185.87,185.87,A_tight1_s7,93,7,0,safety_cap,2000,440,2.2252,2.2252,4.576,1,0,0,292.0,287.73,1,84,178,178,4.58
-108.47,-61.72,0.0351,0.0181,726.0,408.4,317.6,173.5,100.53,173.5,A_tight1_s7,94,7,0,safety_cap,2000,476,,6.1301,10.533,0,0,0,229.0,227.72,1,97,181,198,10.53
119.98,-164.32,0.0018,0.0298,529.9,792.8,-262.9,140.75,109.69,140.75,A_tight1_s7,95,7,0,safety_cap,2000,414,,3.6559,7.414,0,0,0,248.0,237.93,1,88,172,154,7.41
143.46,-82.82,0.0336,0.0315,486.0,753.6,-267.5,144.5,224.02,224.02,A_tight1_s7,96,7,0,safety_cap,2000,404,,2.9889,6.204,0,0,0,362.0,300.25,1,94,168,142,6.2
-105.5,-114.36,0.0472,0.0161,642.6,714.4,-71.8,38.29,117.66,117.66,A_tight1_s7,97,7,0,safety_cap,2000,454,1.8739,1.8739,4.707,4,3,0,189.0,173.42,1,70,199,185,4.71
59.55,-86.02,0.0204,0.0049,650.5,732.1,-81.6,43.38,92.25,92.25,A_tight1_s7,98,7,0,safety_cap,2000,453,3.6432,3.2678,2.566,3,1,0,133.0,123.8,1,47,243,163,3.48
155.62,143.97,0.0332,0.0229,457.9,563.4,-105.5,58.32,44.59,58.32,A_tight1_s7,99,7,1,success,1975,479,2.9706,2.9706,4.355,1,0,0,158.0,153.77,1,81,174,224,4.35
177.94,-87.23,0.0019,0.0206,376.1,787.9,-411.8,224.28,77.84,224.28,A_tight1_s7,100,7,1,success,1967,426,1.2174,1.2174,3.587,4,4,0,228.0,214.6,1,87,179,160,3.59
78.38,15.53,0.0249,0.0275,732.0,487.2,244.8,132.53,104.37,132.53,A_tight1_s7,101,7,0,safety_cap,2000,472,1.9363,1.9363,3.138,6,0,0,150.0,144.46,1,53,232,187,3.14
9.08,-107.55,0.0247,0.0158,549.8,474.2,75.6,41.81,132.75,132.75,A_tight1_s7,102,7,1,success,270,95,2.2055,2.2055,1.739,1,0,0,148.0,137.38,1,27,37,31,1.74
38.78,28.36,0.0401,0.0064,569.0,743.6,-174.6,93.56,126.58,126.58,A_tight1_s7,103,7,0,safety_cap,2000,389,,4.4047,8.412,0,0,0,170.0,147.16,1,56,209,124,8.41
-84.99,140.44,0.02,0.016,638.4,552.7,85.8,46.57,126.06,126.06,A_tight1_s7,104,7,0,safety_cap,2000,474,1.683,1.683,2.617,3,0,0,181.0,169.95,1,57,207,210,2.62
-147.59,1.21,0.0441,0.0467,740.7,607.8,132.9,70.95,330.34,330.34,A_tight1_s7,105,7,0,safety_cap,2000,167,,13960.9747,13576.301,0,0,0,470.0,440.91,1,56,78,33,13576.3
116.72,-175.77,0.0159,0.0332,334.0,720.6,-386.6,213.09,115.6,213.09,A_tight1_s7,106,7,0,safety_cap,2000,444,,4.0975,8.039,0,0,0,260.0,244.27,1,97,158,189,8.04
-27.7,-142.22,0.0188,0.0097,604.1,697.3,-93.2,49.98,91.95,91.95,A_tight1_s7,107,7,1,success,1839,446,2.6414,2.6414,2.484,1,0,0,115.0,106.56,1,34,270,142,2.48
35.7,1.34,0.0091,0.0255,461.3,588.6,-127.2,70.14,70.92,70.92,A_tight1_s7,108,7,1,success,1977,457,4.7896,4.7432,3.601,1,0,0,114.0,106.25,1,43,244,170,3.6
25.79,41.32,0.0482,0.0422,761.1,619.3,141.9,75.48,51.25,75.48,A_tight1_s7,109,7,1,success,1897,451,2.0648,2.0648,2.465,1,0,0,75.0,76.63,1,21,265,165,2.46
-39.41,-106.38,0.0047,0.0269,403.1,585.6,-182.5,101.27,96.26,101.27,A_tight1_s7,110,7,0,safety_cap,2000,407,2.1912,2.1912,3.146,8,3,0,127.0,116.71,1,35,267,105,3.15
-21.97,80.11,0.0247,0.0439,696.0,592.6,103.5,55.6,207.07,207.07,A_tight1_s7,111,7,0,safety_cap,2000,596,2.2659,2.2659,3.354,11,8,0,235.0,218.48,1,41,320,235,3.35
