gap_deg,gapM_deg,e_sat,e_tgt,alt_sat_km,alt_tgt_km,da_km,hohmann_dv,evec_dv,shape_lb_dv,condition,episode,seed,success,cause,steps,decisions,best_vrel_inbox,best_vrel,best_d_km,n_inbox,n_inbox_tau1,n_fine_rad,dv_used,plan_dv,n_plans,n_burns,n_warps,n_coast,min_d_km
-29.91,-59.9,0.042,0.0143,614.1,326.3,287.8,160.58,117.57,160.58,C_tight5_s7,61,7,0,safety_cap,2000,502,,28.2851,24.546,0,0,0,279.0,195.63,1,104,162,236,24.55
-3.79,8.4,0.0091,0.0477,755.6,684.2,71.5,37.78,146.1,146.1,C_tight5_s7,62,7,1,success,1665,467,,14.0512,13.614,0,0,0,162.0,148.1,1,33,253,181,13.61
126.43,-47.31,0.0203,0.0044,608.4,674.7,-66.3,35.64,92.66,92.66,C_tight5_s7,63,7,0,safety_cap,2000,465,,8.4341,8.607,0,0,0,172.0,168.27,1,73,209,183,8.61
-175.58,-18.57,0.0232,0.0348,379.8,471.9,-92.1,51.91,217.25,217.25,C_tight5_s7,64,7,0,safety_cap,2000,447,,11.9638,10.072,0,0,0,316.0,311.38,1,87,176,184,10.07
39.87,-14.86,0.0419,0.0086,630.4,351.1,279.3,155.17,144.8,155.17,C_tight5_s7,65,7,1,success,1900,435,,10.1488,9.897,0,0,0,166.0,164.79,1,35,226,174,9.9
-1.42,-63.27,0.0341,0.0445,756.4,660.0,96.4,51.08,155.73,155.73,C_tight5_s7,66,7,1,success,1690,480,,8.3967,8.363,0,0,0,179.0,156.47,1,41,260,179,8.36
-106.15,100.23,0.0029,0.0061,532.9,300.5,232.4,131.2,34.12,131.2,C_tight5_s7,67,7,0,safety_cap,2000,372,,17.0772,14.424,0,0,0,157.0,160.44,1,81,145,146,14.42
51.13,-130.61,0.0358,0.0122,480.7,627.2,-146.6,80.29,181.21,181.21,C_tight5_s7,68,7,1,success,1951,437,,5.7263,5.599,0,0,0,234.0,207.9,1,58,235,144,5.6
-141.81,-127.0,0.0203,0.0202,390.1,573.4,-183.3,102.0,19.81,102.0,C_tight5_s7,69,7,1,success,1985,430,,5.6983,5.605,0,0,0,102.0,99.98,1,64,183,183,5.6
-68.12,-76.83,0.0119,0.037,504.0,786.6,-282.6,151.82,94.15,151.82,C_tight5_s7,70,7,1,success,1929,454,,6.0849,5.26,0,0,0,147.0,147.32,1,44,219,191,5.26
35.11,-69.08,0.0221,0.0091,583.9,747.2,-163.3,87.36,96.83,96.83,C_tight5_s7,71,7,1,success,1936,440,,11.539,11.212,0,0,0,136.0,123.14,1,44,244,152,11.21
-55.34,-153.89,0.028,0.0148,605.9,302.9,303.0,169.68,129.86,169.68,C_tight5_s7,72,7,0,safety_cap,2000,496,,24.9208,20.741,0,0,0,276.0,281.51,1,94,164,238,20.74
-32.53,70.79,0.0044,0.0182,327.7,677.1,-349.4,193.58,73.95,193.58,C_tight5_s7,73,7,1,success,1851,394,,5.7394,5.638,0,0,0,200.0,186.39,1,44,258,92,5.64
177.09,80.38,0.0059,0.0317,521.4,585.9,-64.4,35.3,124.59,124.59,C_tight5_s7,74,7,0,safety_cap,2000,483,,6.1871,6.159,0,0,0,228.0,217.42,1,75,186,222,6.16
60.2,100.86,0.0195,0.0218,650.5,441.8,208.7,114.5,55.55,114.5,C_tight5_s7,75,7,1,success,1934,328,,5.8849,5.252,0,0,0,119.0,117.13,1,50,208,70,5.25
100.66,62.34,0.0122,0.047,639.8,589.6,50.3,27.19,144.53,144.53,C_tight5_s7,76,7,1,success,1968,420,,4.5148,5.085,0,0,0,203.0,196.79,1,66,188,166,5.09
-4.6,-51.26,0.0074,0.0223,373.7,492.8,-119.1,66.98,68.76,68.76,C_tight5_s7,77,7,1,success,1674,408,,14.0219,11.926,0,0,0,73.0,71.11,1,17,223,168,11.93
-129.74,-59.81,0.0002,0.0426,639.2,706.5,-67.4,35.97,159.68,159.68,C_tight5_s7,78,7,0,safety_cap,2000,438,,4.1138,5.367,0,0,0,243.0,228.17,1,74,185,179,5.37
54.56,179.24,0.0268,0.0384,668.4,500.7,167.7,91.26,221.07,221.07,C_tight5_s7,79,7,1,success,1932,381,5.0209,5.0209,4.93,1,0,0,257.0,249.03,1,52,220,109,4.93
-176.78,171.59,0.0093,0.0078,557.3,493.6,63.7,35.13,8.71,35.13,C_tight5_s7,80,7,0,safety_cap,2000,382,,9.5302,9.035,0,0,0,149.0,152.24,1,77,180,125,9.03
-0.6,40.84,0.0334,0.0404,685.1,581.1,103.9,55.97,101.87,101.87,C_tight5_s7,81,7,1,success,1508,148,,23.8933,41.013,0,0,0,110.0,102.18,1,26,79,43,41.01
-2.68,-27.87,0.0041,0.0187,753.2,487.1,266.1,143.73,57.51,143.73,C_tight5_s7,82,7,1,success,1750,548,,6.88,6.005,0,0,0,160.0,150.65,1,34,272,242,6.0
-141.44,-114.9,0.0346,0.0003,638.1,400.5,237.6,131.18,131.53,131.53,C_tight5_s7,83,7,0,safety_cap,2000,520,,15.7597,13.351,0,0,0,249.0,241.92,1,95,170,255,13.35
-103.23,-9.17,0.0034,0.0277,772.5,668.3,104.1,55.05,105.81,105.81,C_tight5_s7,84,7,1,success,1966,454,,5.0114,5.204,0,0,0,170.0,164.06,1,62,210,182,5.2
-148.34,165.36,0.017,0.0252,557.1,620.8,-63.6,34.59,68.76,68.76,C_tight5_s7,85,7,1,success,1989,424,,5.9254,6.17,0,0,0,152.0,146.12,1,75,178,171,6.17
