geom,rho0_km,rho_over_r,arc_min,n_obs,dv_ms,burn_dir,crlb_los_m,crlb_rel,fim_cond,crlb_los_rb_m,crlb_rel_rb,beta_floor_mrad
A3_leo_100km,101.61433918643861,0.015038272507132407,1440.0,1441,1.0,radial,137.09119561134818,0.0013491323833717782,19864.895853875016,3.181750585887975,3.1312023591967716e-05,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,1440.0,1441,1.0,prograde,133.25364672172552,0.0013113665629142768,18659.04805618452,3.183511010710672,3.132934816285792e-05,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,1440.0,1441,10.0,prograde,110.60691490008162,0.0010884971135534695,12967.840296265418,3.215341998685885,3.164260107804748e-05,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,3000.0,3001,0.0,none,136.491368617711,0.00134322940748826,168671.0779177676,2.24740897154237,2.211704558171558e-05,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,3000.0,3001,0.1,radial,136.48342019258132,0.0013431511859971464,168709.15914817303,2.247440247518744,2.211735337268902e-05,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,3000.0,3001,1.0,radial,136.40279174924444,0.001342357710942519,169026.64968783272,2.247722416061561,2.212013023021795e-05,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,3000.0,3001,1.0,prograde,132.66022813970494,0.0013055266530475032,159699.45349555757,2.254660631844524,2.2188410119045778e-05,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,3000.0,3001,10.0,prograde,110.22104353248005,0.0010846997029646589,113485.68295033241,2.35107599797994,2.3137246345383046e-05,1.1368683772161603e-10
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,15.0,16,0.0,none,923162.9545942062,3.061996684998844,443990947.0229888,30.361694165853848,0.00010070530497799148,4.263256414560601e-11
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,30.0,31,0.0,none,89900.15232636397,0.298185674624714,14677980.369278334,26.247171385269574,8.705803387400826e-05,4.263256414560601e-11
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,30.0,31,0.1,radial,88114.56243308939,0.29226313374851787,14092615.189200474,26.247215079411127,8.705817880109392e-05,4.263256414560601e-11
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,30.0,31,1.0,radial,74512.93411447985,0.24714851924313397,10025856.659651184,26.247603657010526,8.705946765623623e-05,4.263256414560601e-11
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,30.0,31,1.0,prograde,101589.38969994258,0.3369571676855415,18637277.67871649,26.249039415039164,8.706422985591318e-05,4.263256414560601e-11
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,30.0,31,10.0,prograde,107653.7510043378,0.3570717683833737,19888416.736816935,26.265361629727348,8.711836825804289e-05,4.263256414560601e-11
