episode,terminal_cause,success,steps,episode_orbits,a_sat_km,a_tgt_km,hohmann_dv,policy_dv,lambert_dv_immediate,lambert_dv_free,lambert_dv_timematched,ratio_immediate,ratio_free,ratio_timematched,best_tof_immediate_s,best_revs_immediate,best_wait_free_s,best_tof_free_s,best_revs_free,best_wait_tm_s,best_tof_tm_s,best_revs_tm,n_burns,teleport_net_deg,teleport_abs_deg,teleport_coast_deg
ep_0000055.npz,1,1,867,8.805757141948787,6934.3065,7063.096,69.43955902491871,245.0,689.8687436307308,634.7987415297721,192.06769729678115,0.35514002085466606,0.38594909531418703,1.2755919056051803,15658.948336010375,2,1768.4616739139178,9770.862741614495,1,14643.752092633928,19729.36664576102,3,27,3.194701625473831,30.374688403805113,0.0006469759998789478
ep_0000056.npz,1,1,1149,11.512399151302317,6796.362,7127.3755,179.92351271877214,250.0,935.3795326778317,935.3795326778317,202.17865586115985,0.2672711891442533,0.2672711891442533,1.2365301319031423,13096.537225695549,1,0.0,13096.537225695549,1,434.4957983193277,60184.076888608986,10,27,-5.8566213661599225,26.127502178973806,0.0008777178295964964
ep_0000057.npz,1,1,212,2.313690170442941,7169.427,6732.566,238.0523457917161,255.0,238.8916639915251,238.6353158613628,238.63904478430186,1.0674294604480061,1.0685761203431616,1.068559423000064,15483.306200937483,2,5411.019174016388,9452.540081136809,1,6515.795365021009,3744.8984463868883,0,27,-14.755664181668935,26.437692698286398,0.0001356597573165847
ep_0000058.npz,1,1,969,10.14463262338127,6818.989,6921.791,56.98722194949369,195.0,942.2113746661473,942.2113746661473,246.17041855603125,0.20695992984492903,0.20695992984492903,0.7921341692629723,15138.752484921068,3,0.0,15138.752484921068,3,488.57142857142856,55574.50231098512,10,28,5.577241734677232,18.677223361338157,0.0007048252648435945
ep_0000059.npz,1,1,189,1.9918194143306815,6947.1185,6891.304,30.612845157455013,250.0,333.0999090141719,333.0999090141719,499.47007257805194,0.750525572762506,0.750525572762506,0.500530489663988,15816.079998783389,2,0.0,15816.079998783389,2,0.0,10179.910506492388,1,41,54.84550515517907,54.84560860925386,0.00011148674275668157
ep_0000060.npz,1,1,210,2.17080940798812,6889.1715,6980.5865,49.96951093320695,290.0,279.83336848129113,279.83336848129113,406.1813002196041,1.0363310193272701,1.0363310193272701,0.7139668907534885,16774.47774234297,2,0.0,16774.47774234297,2,0.0,11246.933141898966,1,40,-38.62677617733258,41.13107156774633,0.00012057100993466454
ep_0000061.npz,1,1,809,8.627011181610703,6922.899,6837.3155,47.341544586685814,275.0,956.047049578569,956.047049578569,205.29297462827466,0.28764274741627155,0.28764274741627155,1.3395490055027177,12653.258599128792,1,0.0,12653.258599128792,1,1957.93588333771,42536.55799397064,7,38,-29.915198906875823,40.44298926555824,0.0006070208644470133
ep_0000062.npz,1,1,143,1.431302557488118,7074.9665,7132.305,30.231997710457108,105.0,129.89659148939495,84.47012527757033,267.0591655156684,0.8083352980711002,1.2430430244416961,0.3931713026858823,16246.740616002233,2,6815.966815526495,10139.37791249631,1,200.47765395220586,5184.011752140312,0,13,11.995597950811668,20.959291954760445,0.00011242180720770363
ep_0000063.npz,1,1,91,0.9772659331580872,6883.1815,6805.279,43.431881628777774,205.0,381.0301503009068,141.53543690423984,280.08227865800774,0.5380151671412553,1.4484005170994672,0.7319277784451106,14928.943113760302,2,1841.279471342655,9255.664144121527,1,1468.235294117647,3991.76382512148,0,24,12.429483901163664,17.9315351166204,5.3622198992567164e-05
ep_0000064.npz,1,1,1042,10.880102441170305,7145.8775,6933.992,113.24631149536708,155.0,1117.3229027842071,1117.3229027842071,155.61930030336592,0.13872444538079584,0.13872444538079584,0.9960204145491038,13521.27376068892,1,0.0,13521.27376068892,1,5253.781512605042,53235.85724676065,8,17,-11.727914879335234,15.76405799887752,0.0007845561411769876
ep_0000065.npz,1,1,866,9.248714504007568,6692.2805,6830.4795,78.47074688876364,200.0,806.333028603912,806.333028603912,183.24345645776722,0.24803647240679294,0.24803647240679294,1.0914441577677547,14058.890946511307,2,0.0,14058.890946511307,2,900.4606256565127,46390.94297487493,8,26,32.36415464857414,46.654179334394826,0.0006447809217964296
ep_0000066.npz,1,1,499,5.460206494215652,6843.6095,6720.803,69.40921089218682,210.0,1146.046200110246,1146.046200110246,368.05274999394123,0.18323868617146383,0.18323868617146383,0.5705703869987575,12213.723818981705,1,0.0,12213.723818981705,1,1901.0411058954833,24397.454078577968,4,30,-82.48340586287098,82.48370473995709,0.0003575703280957288
ep_0000067.npz,1,1,1214,12.376357502204169,6886.8845,7045.4825,86.11232959526205,130.0,1216.4078393814455,1216.4078393814455,206.01568044877422,0.10687205046796328,0.10687205046796328,0.6310199287588912,14157.936813777691,2,0.0,14157.936813777691,2,4284.7058823529405,66611.19122747536,11,15,7.4276134225398165,19.99597672626065,0.0008771309981744382
ep_0000068.npz,1,1,1907,20.838438109958446,7163.804,6726.9345,238.3464992278814,290.0,1534.3863517106124,1534.3863517106124,238.35401910944924,0.18900063838334666,0.18900063838334666,1.2166776171155542,13862.914646336436,2,0.0,13862.914646336436,2,24853.31678374475,31671.200402237246,5,37,-33.001365490523675,39.26852385392101,0.001396535727947115
ep_0000069.npz,1,1,1195,12.5246732965714,6792.5025,6916.6295,69.04759554429165,140.0,793.8885082871379,793.8885082871379,203.20297420356434,0.17634718041461311,0.17634718041461311,0.6889662936712286,13208.774366142976,1,0.0,13208.774366142976,1,1205.0420168067226,70077.38183545465,12,20,35.31352445759435,60.700150843205755,0.0009385915150754049
ep_0000070.npz,1,1,160,1.61388443679692,6950.73,7095.645,77.72633217911789,195.0,287.12425094673057,287.12425094673057,375.4101824842186,0.6791484848703283,0.6791484848703283,0.5194318350919993,16594.31208015208,2,0.0,16594.31208015208,2,0.0,4879.266783028001,0,30,-14.9327742480186,17.90619944633112,0.0001056763772500637
ep_0000071.npz,1,1,535,5.377065062541275,6674.983,7112.6675,241.47593412013612,310.0,937.2984182608593,937.2984182608593,241.6013572628182,0.33073778207713134,0.33073778207713134,1.283105374539666,14719.09760673689,2,0.0,14719.09760673689,2,17246.874589679624,8939.807075317487,1,35,-20.535469842888077,38.46903836969995,0.00038804756286186013
ep_0000072.npz,1,1,766,8.049417647020496,7018.161,6904.566,61.740121829156124,300.0,1050.7199017613498,1050.7199017613498,384.896736875638,0.2855185282938888,0.2855185282938888,0.7794298347011746,13572.775118595313,1,0.0,13572.775118595313,1,0.0,41792.124917236244,6,51,-62.84718529377552,64.9646644137889,0.0005293284406714051
