scenario,design,gamma_form,decisions,total,worst_step,best_step,open_leg,drift_leg,close_leg,xfer_leg,terminal
expert_g180,S_B,gamma_shape=1,50,1.0000000000000002,-0.7660299182894423,0.8838280587069678,1.0076046873194913,0.9006112091591669,-0.9947818332558287,0,0.08656593677717041
expert_g180,S_C,gamma^tau,50,2.5138727448145777,-0.04317396114057507,0.2808796907661497,0.17807958370353655,1.8654071420487646,0.2942444694547015,0,0.17614154960757553
expert_g180,S_C,gamma^1/decision,50,0.3886823469042583,-0.04317396114057507,0.2808796907661497,0.17807958370353655,-0.2597832558615553,0.2942444694547015,0,0.17614154960757553
expert_g180,S_C,gamma_shape=1,50,0.31999999999999995,-0.04358848804933355,0.2806831062976379,0.17491779439339192,-0.318972005975615,0.2879126619746475,0,0.17614154960757553
expert_g180,S_R,gamma^tau,50,4.7794429872225646,-0.0006657208144017785,0.29516801594090114,0.022111526404260392,4.749414163423483,0.0025517290460272328,0,0.005365568348793519
expert_g180,S_R,gamma^1/decision,50,1.097902401901782,-0.002032540556986313,0.06789734750124166,0.022111526404260392,1.0678735781027007,0.0025517290460272328,0,0.005365568348793519
expert_g180,S_R,gamma_shape=1,50,1.0000000000000002,-0.0020593683987302812,0.06384801032888882,-0.0029651706263397423,0.9951383465345762,0.002461255742970249,0,0.005365568348793519
expert_g180,S_R3,gamma^tau,50,5.558411240499609,-0.035637572417899666,0.31446119318282006,-0.08680021959245264,5.524665773276168,0.10720880013592753,0,0.01333688667996602
expert_g180,S_R3,gamma^1/decision,50,1.1203240824418321,-0.035637572417899666,0.04052070551278365,-0.08680021959245264,1.086578615218391,0.10720880013592753,0,0.01333688667996602
expert_g180,S_R3,gamma_shape=1,50,1.0,-0.04084178132452232,0.04012272052824882,-0.114091165355957,0.9944008475650205,0.10635343111097058,0,0.01333688667996602
expert_xfer_g120,legacy,gamma^tau,62,0.7111093509197695,-0.022226370755463583,0.04437206463666455,-0.06830031516953339,0.6311739909746041,0.06928060039449466,0.056299841770739094,0.022655232949464782
expert_xfer_g120,legacy,gamma^1/decision,62,0.08804965418985079,-0.022226370755463583,0.04437206463666455,-0.06830031516953339,0.014379787411535897,0.06928060039449466,0.050034348603888855,0.022655232949464782
expert_xfer_g120,legacy,gamma_shape=1,62,0.068732643127834,-0.02244359930432114,0.044163752920268626,-0.07027255524249722,-8.071004553654448e-06,0.06862750376477597,0.047730532660644115,0.022655232949464782
expert_xfer_g120,S_A,gamma^tau,62,0.15142906017278054,-0.003756305098142636,0.018644840151397744,0.007737474126473938,0.12380620297893177,0.0035490643660627645,-0.0023085214500856537,0.018644840151397744
expert_xfer_g120,S_A,gamma^1/decision,62,0.019734448608628535,-0.003756305098142636,0.018644840151397744,0.007737474126473938,-0.006392524222984086,0.0035490643660627645,-0.0038044058123218264,0.018644840151397744
expert_xfer_g120,S_A,gamma_shape=1,62,0.015000000088403798,-0.003845746099603928,0.018644840151397744,0.0073095248636681365,-0.009449273836842133,0.003086387200140317,-0.004591478289960267,0.018644840151397744
expert_xfer_g120,S_B,gamma^tau,62,4.2706747937434715,-0.7763157878522151,0.7825280821938397,1.0666852085125786,3.886599455499056,-0.9863456626063181,0.24411830184155403,0.059617490496599104
expert_xfer_g120,S_B,gamma^1/decision,62,1.1593977304867868,-0.7763157878522151,0.7825280821938397,1.0666852085125786,0.949440694083927,-0.9863456626063181,0.07000000000000006,0.059617490496599104
expert_xfer_g120,S_B,gamma_shape=1,62,1.0,-0.7813157878522151,0.7814352584862712,1.0418493369023096,0.891553502245944,-0.9930203296448527,0.0,0.059617490496599104
expert_xfer_g120,S_C,gamma^tau,62,2.6380592409367543,-0.059463110571720185,0.27236793566013895,0.010409155594601899,2.3458053349223853,-0.029391272078484104,0.03886808683811138,0.27236793566013895
expert_xfer_g120,S_C,gamma^1/decision,62,0.36203843324554597,-0.059463110571720185,0.27236793566013895,0.010409155594601899,0.10131289496509113,-0.029391272078484104,0.007339719104198089,0.27236793566013895
expert_xfer_g120,S_C,gamma_shape=1,62,0.28373264419063654,-0.060702846498365215,0.27236793566013895,0.002051318096600807,0.05228331746212489,-0.03590232385485126,-0.007067603173376846,0.27236793566013895
