band,alt_lo_km,alt_hi_km,e_max,de_max,da_max_km,same_orbit,horizon,di_max_deg,n,budget_ms,frac_dv_ok_seq,frac_dv_ok_comb,frac_time_ok,frac_feasible_seq,frac_feasible_comb,dv_seq_p50,dv_seq_p90,dv_seq_p99,dv_comb_p90,dv_plane_p50,dv_plane_p90,theta_p50,theta_p90,steps_p50,steps_p90
WL3 300-2000 e<=0.15,300,2000,0.15,0.06,400,0,3000,0.2,4000,478.12987798780637,1.0,1.0,1.0,1.0,1.0,264.7610052577163,350.61041419235374,414.6867776407401,336.3187472511942,16.741108949702813,22.852834516416465,0.14144894701304306,0.18994580859247037,1399.7929829593031,2723.18073004329
WL3 300-2000 e<=0.15,300,2000,0.15,0.06,400,0,3000,0.3,4000,478.12987798780637,1.0,1.0,1.0,1.0,1.0,272.80829157878213,359.16619506906187,425.92125275370046,337.34570128773004,25.111654897614123,34.27923196341267,0.21217342051956456,0.28491871288870546,1399.7929829593031,2723.18073004329
WL3 300-2000 e<=0.15,300,2000,0.15,0.06,400,0,3000,0.4,4000,478.12987798780637,0.9995,1.0,1.0,0.9995,1.0,280.9947818271655,367.00847359466854,435.7719643623942,338.47417057935246,33.482190613201254,45.70560563696984,0.2828978940260861,0.37989161718494074,1399.7929829593031,2723.18073004329
WL3 300-2000 e<=0.15,300,2000,0.15,0.06,400,0,3000,0.5,4000,478.12987798780637,0.9995,1.0,1.0,0.9995,1.0,288.42880699147867,375.12426024390527,443.5516343952432,340.0578390066152,41.85271268569594,57.13194761263395,0.3536223675326076,0.47486452148117586,1399.7929829593031,2723.18073004329
WL3 300-2000 e<=0.15,300,2000,0.15,0.06,400,0,3000,0.6,4000,478.12987798780637,0.99775,1.0,1.0,0.99775,1.0,296.4769285415355,383.9338299265089,453.16176489898385,341.51712329825284,50.22321770433554,68.55824996597293,0.4243468410391291,0.5698374257774109,1399.7929829593031,2723.18073004329
WL3 300-2000 e<=0.15,300,2000,0.15,0.06,400,0,3000,0.75,4000,478.12987798780637,0.9935,1.0,1.0,0.9935,1.0,308.0503981657404,396.505841896919,466.54899912840835,345.78835772412094,62.778935795290856,85.69761186949572,0.5304335512989115,0.7122967822217638,1399.7929829593031,2723.18073004329
WL3 300-2000 e<=0.15,300,2000,0.15,0.06,400,0,3000,0.9,4000,478.12987798780637,0.98775,1.0,1.0,0.98775,1.0,319.4572676937895,409.43905921354803,481.03910161500005,350.2340485384076,75.33459632961018,102.83684004816398,0.6365202615586938,0.8547561386661167,1399.7929829593031,2723.18073004329
WL3 300-2000 e<=0.15,300,2000,0.15,0.06,400,0,3000,1.0,4000,478.12987798780637,0.98,1.0,1.0,0.98,1.0,327.49009788465673,418.396215274103,492.214267171061,354.2370060285547,83.70499902536318,114.26290466851415,0.7072447350652152,0.9497290429623517,1399.7929829593031,2723.18073004329
WL3 300-2000 e<=0.15,300,2000,0.15,0.06,400,0,3000,1.2,4000,478.12987798780637,0.96375,0.99975,1.0,0.96375,0.99975,342.73454486174126,437.02052898373825,514.0603297363695,363.05479383816396,100.44569868356132,137.1147882531402,0.8486936820782582,1.1396748515548218,1399.7929829593031,2723.18073004329
WL3 300-2000 e<=0.15,300,2000,0.15,0.06,400,0,3000,1.5,4000,478.12987798780637,0.91875,0.99925,1.0,0.91875,0.99925,366.50657283344884,467.1320538124396,544.823730114917,377.727440875926,125.55643267732827,171.39188062806284,1.060867102597823,1.4245935644435277,1399.7929829593031,2723.18073004329
