cls,nav_seed,component,block,z,rho
X3-loose,20260955,plane,pos,0.3135779860795973,48999.63295102776
X3-loose,20260955,plane,vel,-0.27298273173037735,48999.63295102776
X3-loose,20260955,plane,pos,0.7247932674108293,15293.242479281367
X3-loose,20260955,plane,vel,-0.6941884900767995,15293.242479281367
X3-loose,20260955,plane,pos,-0.6800375028367244,4582578.133058519
X3-loose,20260955,plane,vel,-0.3239666006395256,4582578.133058519
X3-loose,20260955,plane,pos,-0.9632496317654884,218353.38861300677
X3-loose,20260955,plane,vel,0.18948711211464048,218353.38861300677
X3-loose,20260962,range,pos,-0.14490032554704907,148549.27263819848
X3-loose,20260962,range,vel,-0.11524117266281943,148549.27263819848
X3-loose,20260962,range,pos,-0.7079598549546088,317650.6809959111
X3-loose,20260962,range,vel,-0.8657005764362303,317650.6809959111
X3-loose,20260962,range,pos,-2.5353772640846945,52812.633297471795
X3-loose,20260962,range,vel,2.649928671985638,52812.633297471795
X3-loose,20260962,range,pos,-0.6451437584177656,288084.74287018884
X3-loose,20260962,range,vel,-0.7506586786168777,288084.74287018884
X3-loose,20260962,range,pos,0.9330897744520898,65996.618097317
X3-loose,20260962,range,vel,1.0734740911446234,65996.618097317
X3-loose,20260962,range,pos,-0.5648869316940743,114515.37164420691
X3-loose,20260962,range,vel,0.12702619648236016,114515.37164420691
X3-loose,20260962,range,pos,-0.35058189930141354,122173.52792410764
X3-loose,20260962,range,vel,0.30173510490709693,122173.52792410764
X3-loose,20260962,range,pos,-0.010169718919678503,56480.30772755108
X3-loose,20260962,range,vel,0.7565237000114159,56480.30772755108
X3-loose,20260962,inplane,pos,-0.7980666019129247,148549.27263819848
X3-loose,20260962,inplane,vel,-0.567146183691339,148549.27263819848
X3-loose,20260962,inplane,pos,-1.3695011995366997,317650.6809959111
X3-loose,20260962,inplane,vel,-0.6778985512406255,317650.6809959111
X3-loose,20260962,inplane,pos,0.8119270803604768,52812.633297471795
X3-loose,20260962,inplane,vel,-2.1513760969034417,52812.633297471795
X3-loose,20260962,inplane,pos,-0.0419945574152114,288084.74287018884
X3-loose,20260962,inplane,vel,0.4000501721590676,288084.74287018884
X3-loose,20260962,inplane,pos,-0.061250965905195395,65996.618097317
X3-loose,20260962,inplane,vel,1.206055934267548,65996.618097317
X3-loose,20260962,inplane,pos,0.26423379411690545,114515.37164420691
X3-loose,20260962,inplane,vel,-0.3406532176837248,114515.37164420691
X3-loose,20260962,inplane,pos,-0.01929920837473917,122173.52792410764
X3-loose,20260962,inplane,vel,-0.33919094604918476,122173.52792410764
