block,a_km,e,i_t_deg,sep_km,da_m,di_deg,dv_ms,dv_axis,orbits,n_obs,rho0_km,rho_mean_km,oop_amp_m,sigma_range_m,sigma_inplane_m,sigma_plane_m,sigma_pos_m,sigma_vrange_ms,sigma_vinplane_ms,sigma_vplane_ms,rel_sigma_range,rel_sigma_plane,plane_over_range,plane_over_inplane,fim_cond
leo,6771.0,0.0,51.6,5.0,0.0,0.01,5.0,nor,0.5,47,4.999999886396868,5.965256321074444,5071.112105111133,6.7389051650162255,1.9635853381642911,2.0982808960109236,7.326069404660355,0.00149742808099474,0.006540388782515954,0.004157611788892448,0.0013477810636256752,0.0004196561887370362,0.31136821852068186,1.0685967425141583,2682.539273193346
leo,6771.0,0.0,51.6,5.0,0.0,0.01,5.0,nor,1.0,93,4.999999886396868,5.468137754491837,3864.3454905503804,3.9919271684140174,0.9151481143606129,1.1709102238756763,4.259578540362454,0.0009124665980116915,0.004134807186556083,0.0010506472645196387,0.0007983854518226211,0.00023418205009589815,0.293319535772211,1.2794761913417227,5037.346070291882
leo,6771.0,0.0,51.6,5.0,0.0,0.01,5.0,nor,2.0,186,4.999999886396868,5.537585876197925,4224.373943716873,3.2736582897619297,0.5866830767676146,0.8761452658257926,3.4392827969682087,0.0006078681781032749,0.003669487207447397,0.0006918675347766626,0.0006547316728282998,0.00017522905714647248,0.2676349173540371,1.4933876576992762,25281.582687614133
leo,6771.0,0.0,51.6,5.0,0.0,0.01,5.0,nor,3.0,278,4.999999886396868,5.897852501076171,5549.043662197344,3.838808563887452,0.42137360282581393,0.512345768383871,3.895703413982501,0.0004358577470653462,0.004251441326826185,0.0013179622983286443,0.000767761730221518,0.00010246915600493763,0.1334647872789554,1.2158943155147355,131761.61477925707
leo,6771.0,0.0,51.6,5.0,0.0,0.01,25.0,pro,0.25,24,4.999999886396868,7.609157554201859,1185.4067576199998,16.58257277908059,3.584157695223165,2.152766425807691,17.101529453292088,0.020908040035817567,0.005222141741884624,0.003242219801357549,0.003316514631169408,0.0004305532949439788,0.12982101477784377,0.6006338472988563,2331.7435409516115
leo,6771.0,0.0,51.6,5.0,0.0,0.01,25.0,pro,0.5,47,4.999999886396868,21.115513166679218,1182.5946748253589,7.513227303061491,2.8178951907766674,1.72698405841835,8.208019965357177,0.003724719104733146,0.0036783323662642367,0.0015428459787411163,0.0015026454947533452,0.0003453968195313021,0.22985915223337355,0.6128631270854183,888.5354765464405
leo,6771.0,0.0,51.6,5.0,0.0,0.01,25.0,pro,1.0,93,4.999999886396868,83.56405148406397,1195.553592058466,4.5848844716732655,2.083876241108881,1.0538553743198484,5.145319908113736,0.0014188741697867858,0.003570482206067995,0.0012204968269018991,0.000916976915168943,0.00021077107965282067,0.22985429203960753,0.5057187915147334,2573.11999868374
leo,6771.0,0.0,51.6,5.0,0.0,0.01,25.0,pro,2.0,186,4.999999886396868,178.71544447629523,1196.948200270289,3.9925464270773254,1.1727525878294085,0.8652845671317413,4.250234462561431,0.001118255520325308,0.00425422407968743,0.0009707721624498981,0.0007985093035580967,0.00017305691735830983,0.21672498565411996,0.7378236263227992,14364.929604807108
leo,6771.0,0.0,51.6,5.0,0.0,0.01,25.0,pro,3.0,278,4.999999886396868,274.22726779624946,1191.765761225529,4.272848750690995,0.6593492181581587,0.6104375051895421,4.366304133418722,0.0006704896102248958,0.004943829727537722,0.0010372120366640934,0.0008545697695545596,0.00012208750381181299,0.14286429050193353,0.9258181982754939,26555.89530876929
leo,6771.0,0.0,51.6,5.0,0.0,0.01,25.0,nor,0.25,24,4.999999886396868,10.136311480515706,19979.34401758945,11.34520675893393,2.888130732009808,2.9951620583410024,12.084122280242996,0.008183989722474532,0.007511571612953976,0.011086506480283483,0.002269041403340828,0.0005990324252785925,0.26400242163788007,1.0370590310005505,246.52591652434657
