a_km,e,sep_km,orbits,dv_ms,n_obs,rho0_km,sigma_los_bo_m,sigma_los_rb_m,rel_sigma_bo,bo_over_rb,gain_vs_no_burn,fim_cond_bo
6771.0,0.0,200.0,3.0,25.0,278,199.9927294313195,298.80598119139665,7.435420209848213,0.001494084220166669,40.18683178062057,28.298886485863807,1195371938.3475306
6771.0,0.0,1000.0,0.25,0.0,24,999.0914167633196,1924107.700070541,32.44890625326998,1.9258575019130144,59296.5348370299,1.0,103566502208861.44
6771.0,0.0,1000.0,0.25,1.0,24,999.0914167633196,1710792.0130210554,32.450548054553195,1.7123478235488983,52719.97286902558,1.1246882645148637,82279672298987.22
6771.0,0.0,1000.0,0.25,5.0,24,999.0914167633196,1154693.7484658314,32.457061771541234,1.155743837942883,35576.04063465417,1.6663359463294758,37339605328685.05
6771.0,0.0,1000.0,0.25,25.0,24,999.0914167633196,417218.1706568997,32.48839206655761,0.4175975928294226,12842.068939643497,4.611754317989269,4871484473236.254
6771.0,0.0,1000.0,0.5,0.0,47,999.0914167633196,181875.31794013476,25.906590117510476,0.18204071708407063,7020.426737566043,1.0,9359497267124.162
6771.0,0.0,1000.0,0.5,1.0,47,999.0914167633196,174710.28840520832,25.90306540372685,0.17486917160313914,6744.772700920238,1.0410109192785972,8589250110963.842
6771.0,0.0,1000.0,0.5,5.0,47,999.0914167633196,149211.51467568552,25.8893428423772,0.14934720904626997,5763.43384164419,1.2189094007620305,6118133500347.161
6771.0,0.0,1000.0,0.5,25.0,47,999.0914167633196,80557.20345549339,25.828923891870005,0.08063046294248873,3118.8757144020947,2.257716382131091,1595870403124.2832
6771.0,0.0,1000.0,1.0,0.0,93,999.0914167633196,15142.483544992858,16.47552479654952,0.015156254263547584,919.089603031289,1.0,158191694715.94427
6771.0,0.0,1000.0,1.0,1.0,93,999.0914167633196,15048.169048457172,16.473322470311697,0.01506185399651173,913.487189701838,1.0062675064475937,153869756560.37683
6771.0,0.0,1000.0,1.0,5.0,93,999.0914167633196,14668.511891425518,16.46540125809896,0.014681851575650585,890.8687775957119,1.0323121838858378,138075633324.96494
6771.0,0.0,1000.0,1.0,25.0,93,999.0914167633196,12725.34158109149,16.44135974105585,0.012736914127755006,773.9835257855794,1.1899471183935042,83492200509.38885
6771.0,0.0,1000.0,2.0,0.0,186,999.0914167633196,4708.977761972342,9.319074723789305,0.004713260151135778,505.3052906584685,1.0,45776756583.724106
6771.0,0.0,1000.0,2.0,1.0,186,999.0914167633196,4703.084117073933,9.319114471644257,0.004707361146500644,504.6707100105108,1.001253144692227,44682355484.18771
6771.0,0.0,1000.0,2.0,5.0,186,999.0914167633196,4647.445528671908,9.319451884399816,0.004651671959837152,498.68228156759335,1.0132400117270484,40303955344.520325
6771.0,0.0,1000.0,2.0,25.0,186,999.0914167633196,3994.709323096735,9.324254667209521,0.003998342149748509,428.42130182746666,1.1788036077483355,22808605965.698807
6771.0,0.0,1000.0,3.0,0.0,278,999.0914167633196,3000.6964680167234,7.444943149230179,0.003003425329924114,403.0516295248005,1.0,39577245829.30171
6771.0,0.0,1000.0,3.0,1.0,278,999.0914167633196,3029.2576989312133,7.444818422199483,0.003032012534693641,406.8947725975908,0.99057154136323,38792450286.39515
6771.0,0.0,1000.0,3.0,5.0,278,999.0914167633196,3125.019305503176,7.444388177702455,0.003127861227781401,419.78188548298453,0.9602169377745862,36010787635.93866
6771.0,0.0,1000.0,3.0,25.0,278,999.0914167633196,3212.2185097671722,7.443507927058398,0.0032151397318310993,431.54632751719384,0.9341507929465919,25299023745.27883
6771.0,0.0,5000.0,0.25,0.0,24,4887.167967185576,395256.84417040664,34.74492658467779,0.08087645990977209,11375.958536194215,1.0,216844881870.46887
6771.0,0.0,5000.0,0.25,1.0,24,4887.167967185576,395597.7008325833,34.74470555300867,0.08094620514146154,11385.841224903605,0.9991383755227614,217213122246.69943
6771.0,0.0,5000.0,0.25,5.0,24,4887.167967185576,396965.7433521094,34.743823502398655,0.08122613055608034,11425.505408888102,0.995695096591277,218720611139.09598
6771.0,0.0,5000.0,0.25,25.0,24,4887.167967185576,403917.23377252324,34.73946279429037,0.08264852701699368,11627.043174625871,0.9785589995226747,226409802777.05637
6771.0,0.0,5000.0,0.5,0.0,47,4887.167967185576,51473.994202347945,26.04154732988364,0.010532479044707523,1976.6104352516575,1.0,57960746024.95345
6771.0,0.0,5000.0,0.5,1.0,47,4887.167967185576,51498.42071601632,26.040977896399752,0.010537477136410608,1977.59166037832,0.9995256842184914,57959464424.88433
6771.0,0.0,5000.0,0.5,5.0,47,4887.167967185576,51596.556283306454,26.038720305902817,0.010557557389012739,1981.5319523060368,0.9976246073422895,57958992527.24742
6771.0,0.0,5000.0,0.5,25.0,47,4887.167967185576,52097.555947573885,26.027900988157008,0.010660070678433392,2001.604200480049,0.9880308829486467,57981620097.22234
6771.0,0.0,5000.0,1.0,0.0,93,4887.167967185576,7232.31834413934,16.485423069078525,0.0014798587633369782,438.70990230786964,1.0,6194429637.374197
6771.0,0.0,5000.0,1.0,1.0,93,4887.167967185576,7239.663070938248,16.486198733092913,0.0014813616228352034,439.1347689146801,0.9989854877600048,6192899432.08607
6771.0,0.0,5000.0,1.0,5.0,93,4887.167967185576,7268.9740027252865,16.489336846115005,0.0014873591518712104,440.8287653143494,0.9949572445062806,6187083100.031306
6771.0,0.0,5000.0,1.0,25.0,93,4887.167967185576,7413.915556142202,16.505827944031967,0.0015170167274630689,449.1695649125472,0.9755058969005367,6164992664.578687
