file,success,cause,gap0_deg,da0_km,e_t,e_s,steps,dv,hohmann,shape_lb,burn_records,warp_share,final_dist_km,final_rvel
ep_0000169.npz,1,1,-157.65,417.7,0.0133,0.0056,810,210.0,227.5,227.5,9,0.989,29.09,27.14
ep_0000170.npz,1,1,-67.29,148.4,0.0115,0.0266,839,235.0,80.9,144.9,10,0.988,28.37,28.5
ep_0000171.npz,1,1,-144.65,-246.7,0.0014,0.0436,901,240.0,133.1,165.5,11,0.988,28.55,27.91
ep_0000172.npz,1,1,32.91,-81.4,0.0081,0.0278,501,160.0,43.7,88.3,7,0.984,29.52,32.64
ep_0000173.npz,1,1,3.21,-304.6,0.0486,0.0199,247,255.0,164.6,164.6,12,0.948,29.55,29.05
ep_0000174.npz,1,1,4.29,-274.0,0.0104,0.0138,332,195.0,147.0,147.0,9,0.97,29.03,43.12
ep_0000175.npz,1,1,171.91,119.8,0.0021,0.0368,1064,270.0,65.9,133.8,12,0.988,29.26,29.05
ep_0000176.npz,1,1,34.98,149.8,0.028,0.002,391,185.0,82.5,114.5,8,0.98,29.71,33.12
ep_0000177.npz,1,1,58.73,172.8,0.0151,0.047,505,300.0,95.9,223.7,12,0.976,29.75,33.85
ep_0000178.npz,1,1,170.36,-208.5,0.0358,0.0341,860,300.0,111.1,234.8,12,0.985,29.05,27.58
ep_0000179.npz,1,1,49.67,112.9,0.0141,0.0004,642,130.0,60.5,60.5,7,0.988,29.28,45.46
ep_0000180.npz,1,1,-76.28,222.9,0.0343,0.0404,771,345.0,119.9,119.9,15,0.979,28.34,34.62
ep_0000181.npz,1,1,-57.23,175.9,0.0317,0.0452,728,310.0,97.2,193.8,13,0.981,29.35,23.96
ep_0000182.npz,1,1,68.89,333.0,0.0217,0.0421,657,235.0,180.5,180.5,10,0.985,29.61,22.12
ep_0000183.npz,1,1,-37.01,-180.8,0.0346,0.0111,493,150.0,97.7,97.7,8,0.982,28.63,31.8
ep_0000184.npz,1,1,138.19,95.2,0.0146,0.0425,781,255.0,52.8,112.7,11,0.985,29.92,38.76
ep_0000185.npz,1,1,-134.25,140.6,0.0006,0.0227,1067,260.0,74.9,83.4,11,0.989,29.35,45.3
ep_0000186.npz,1,1,-50.17,-348.2,0.0088,0.0008,423,195.0,190.0,190.0,9,0.979,29.23,33.51
ep_0000187.npz,1,1,-177.17,-254.0,0.0159,0.0041,914,185.0,139.3,139.3,8,0.99,29.34,31.37
ep_0000188.npz,1,1,25.36,-123.7,0.0413,0.0007,377,285.0,68.6,155.1,12,0.968,28.81,39.31
ep_0000189.npz,1,1,128.24,-92.5,0.0478,0.0123,977,225.0,49.8,151.9,9,0.991,29.88,33.56
ep_0000190.npz,1,1,43.45,386.9,0.0085,0.0303,397,205.0,213.4,213.4,10,0.975,28.8,31.72
ep_0000191.npz,1,1,-8.46,58.5,0.0346,0.0409,415,345.0,31.6,278.1,15,0.964,28.97,42.01
ep_0000192.npz,1,1,-143.02,230.6,0.0361,0.0365,1151,345.0,124.3,239.8,15,0.987,27.43,45.47
ep_0000193.npz,1,1,115.77,309.0,0.0275,0.0199,699,170.0,167.8,167.8,8,0.989,29.44,31.53
ep_0000194.npz,1,1,-22.62,375.7,0.0203,0.0396,533,325.0,205.4,205.4,13,0.974,13.06,48.27
ep_0000195.npz,1,1,32.6,-256.9,0.0465,0.0213,559,270.0,138.9,138.9,12,0.977,29.48,29.5
ep_0000196.npz,1,1,38.49,175.9,0.0417,0.0438,564,340.0,94.7,264.6,16,0.972,28.93,31.79
ep_0000197.npz,1,1,37.58,362.1,0.0011,0.0216,288,205.0,198.3,198.3,10,0.965,29.04,31.55
ep_0000198.npz,1,1,49.58,-60.6,0.0132,0.0051,635,185.0,33.3,51.3,8,0.986,29.53,41.28
ep_0000199.npz,1,1,-12.94,204.0,0.0029,0.0396,295,195.0,113.6,156.9,9,0.966,24.55,49.03
ep_0000200.npz,1,1,-84.06,275.9,0.0252,0.0404,993,295.0,151.4,151.4,13,0.986,29.24,29.19
ep_0000201.npz,1,1,-3.48,-143.7,0.005,0.0405,410,220.0,76.3,135.4,10,0.973,28.94,34.19
ep_0000202.npz,1,1,12.67,-56.6,0.0413,0.025,323,220.0,30.1,195.0,10,0.966,27.25,47.54
ep_0000203.npz,1,1,-62.25,-143.9,0.0233,0.0296,506,220.0,77.7,140.9,10,0.98,28.81,29.44
ep_0000204.npz,1,1,16.35,110.0,0.0445,0.0246,537,285.0,57.9,248.6,14,0.972,29.09,26.14
ep_0000205.npz,1,1,113.09,188.6,0.0322,0.0031,782,210.0,100.1,129.2,9,0.989,29.59,23.5
ep_0000206.npz,1,1,93.74,-75.1,0.023,0.0069,728,250.0,41.1,82.9,10,0.985,29.41,34.08
ep_0000207.npz,1,1,-90.39,235.8,0.027,0.0354,838,300.0,129.6,181.5,12,0.985,23.28,48.69
ep_0000208.npz,1,1,111.47,-87.5,0.006,0.0403,827,295.0,48.0,165.5,13,0.983,28.45,29.03
ep_0000209.npz,1,1,59.86,-83.2,0.0073,0.0164,640,200.0,46.8,46.8,8,0.986,28.63,30.98
ep_0000210.npz,1,1,97.79,57.2,0.0044,0.0457,879,245.0,30.6,172.7,11,0.988,28.74,39.8
ep_0000211.npz,1,1,98.8,-163.7,0.0223,0.0073,757,275.0,93.1,93.1,11,0.984,29.08,22.31
ep_0000212.npz,1,1,-16.29,-248.3,0.029,0.0221,354,175.0,136.8,136.8,7,0.977,28.7,29.3
