cap,gap_deg,action,n_burn,dv,n_seeds,successes,rate
3000,40,15,1,2,8,0,0.0
3000,40,15,2,4,8,0,0.0
3000,50,4,1,5,8,0,0.0
3000,50,4,2,10,8,0,0.0
3000,50,5,1,10,8,0,0.0
3000,50,5,2,20,8,7,0.875
3000,50,5,3,30,8,1,0.125
3000,50,6,1,25,8,0,0.0
3000,50,6,2,50,8,0,0.0
3000,50,6,3,75,8,0,0.0
3000,50,6,4,100,8,0,0.0
3000,50,6,6,150,8,0,0.0
3000,50,13,1,1,8,0,0.0
3000,50,15,1,2,8,0,0.0
3000,50,15,2,4,8,0,0.0
3000,60,4,1,5,8,0,0.0
3000,60,4,2,10,8,0,0.0
3000,60,5,1,10,8,0,0.0
3000,60,5,2,20,8,0,0.0
3000,60,5,3,30,8,0,0.0
3000,60,6,1,25,8,0,0.0
3000,60,6,2,50,8,0,0.0
3000,60,6,3,75,8,0,0.0
3000,60,6,4,100,8,0,0.0
3000,60,6,6,150,8,0,0.0
3000,60,13,1,1,8,0,0.0
3000,60,15,1,2,8,0,0.0
3000,60,15,2,4,8,0,0.0
3000,70,4,1,5,8,0,0.0
3000,70,4,2,10,8,0,0.0
3000,70,5,1,10,8,0,0.0
3000,70,5,2,20,8,1,0.125
3000,70,5,3,30,8,0,0.0
3000,70,6,1,25,8,1,0.125
3000,70,6,2,50,8,0,0.0
3000,70,6,3,75,8,0,0.0
3000,70,6,4,100,8,0,0.0
3000,70,6,6,150,8,0,0.0
3000,70,13,1,1,8,0,0.0
3000,70,15,1,2,8,0,0.0
3000,70,15,2,4,8,0,0.0
3000,80,4,1,5,8,0,0.0
3000,80,4,2,10,8,0,0.0
3000,80,5,1,10,8,0,0.0
3000,80,5,2,20,8,0,0.0
3000,80,5,3,30,8,0,0.0
3000,80,6,1,25,8,1,0.125
3000,80,6,2,50,8,0,0.0
3000,80,6,3,75,8,0,0.0
3000,80,6,4,100,8,0,0.0
3000,80,6,6,150,8,0,0.0
3000,80,13,1,1,8,0,0.0
3000,80,15,1,2,8,0,0.0
3000,80,15,2,4,8,0,0.0
3000,90,4,1,5,8,0,0.0
3000,90,4,2,10,8,0,0.0
3000,90,5,1,10,8,0,0.0
3000,90,5,2,20,8,0,0.0
3000,90,5,3,30,8,0,0.0
3000,90,6,1,25,8,7,0.875
3000,90,6,2,50,8,1,0.125
3000,90,6,3,75,8,0,0.0
3000,90,6,4,100,8,0,0.0
3000,90,6,6,150,8,0,0.0
3000,90,13,1,1,8,0,0.0
3000,90,15,1,2,8,0,0.0
3000,90,15,2,4,8,0,0.0
3000,100,4,1,5,8,0,0.0
3000,100,4,2,10,8,0,0.0
3000,100,5,1,10,8,0,0.0
3000,100,5,2,20,8,0,0.0
3000,100,5,3,30,8,0,0.0
3000,100,6,1,25,8,0,0.0
3000,100,6,2,50,8,0,0.0
3000,100,6,3,75,8,0,0.0
3000,100,6,4,100,8,0,0.0
3000,100,6,6,150,8,0,0.0
3000,100,13,1,1,8,0,0.0
3000,100,15,1,2,8,0,0.0
3000,100,15,2,4,8,0,0.0
3000,110,4,1,5,8,0,0.0
3000,110,4,2,10,8,0,0.0
3000,110,5,1,10,8,0,0.0
3000,110,5,2,20,8,0,0.0
3000,110,5,3,30,8,0,0.0
3000,110,6,1,25,8,0,0.0
3000,110,6,2,50,8,0,0.0
3000,110,6,3,75,8,0,0.0
3000,110,6,4,100,8,0,0.0
3000,110,6,6,150,8,0,0.0
3000,110,13,1,1,8,0,0.0
3000,110,15,1,2,8,0,0.0
3000,110,15,2,4,8,0,0.0
3000,120,4,1,5,8,0,0.0
3000,120,4,2,10,8,0,0.0
3000,120,5,1,10,8,0,0.0
3000,120,5,2,20,8,0,0.0
3000,120,5,3,30,8,7,0.875
3000,120,6,1,25,8,0,0.0
3000,120,6,2,50,8,0,0.0
3000,120,6,3,75,8,0,0.0
3000,120,6,4,100,8,0,0.0
3000,120,6,6,150,8,0,0.0
3000,120,13,1,1,8,0,0.0
3000,120,15,1,2,8,0,0.0
3000,120,15,2,4,8,0,0.0
3000,130,4,1,5,8,0,0.0
3000,130,4,2,10,8,0,0.0
3000,130,5,1,10,8,0,0.0
3000,130,5,2,20,8,0,0.0
3000,130,5,3,30,8,0,0.0
3000,130,6,1,25,8,0,0.0
3000,130,6,2,50,8,0,0.0
3000,130,6,3,75,8,0,0.0
3000,130,6,4,100,8,0,0.0
3000,130,6,6,150,8,0,0.0
3000,130,13,1,1,8,0,0.0
3000,130,15,1,2,8,0,0.0
3000,130,15,2,4,8,0,0.0
3000,140,4,1,5,8,0,0.0
3000,140,4,2,10,8,0,0.0
3000,140,5,1,10,8,0,0.0
3000,140,5,2,20,8,0,0.0
3000,140,5,3,30,8,0,0.0
3000,140,6,1,25,8,0,0.0
3000,140,6,2,50,8,0,0.0
3000,140,6,3,75,8,0,0.0
3000,140,6,4,100,8,0,0.0
