rung,evec_mode,di_max_deg,n,frac_dv_ok_seq,frac_dv_ok_comb,frac_time_ok,frac_feasible_seq,frac_feasible_comb,de_p50,de_p90,dv_e_p50,dv_seq_p50,dv_seq_p90,dv_comb_p50,dv_comb_p90,dv_plane_p90,theta_p50,steps_p90,e_max,band
"WIDE-a band 300-8000 (W4 band, da600, cap6000)",realized,1.0,5000,0.6546,0.7556,1.0,0.6546,0.7556,0.07498750050532674,0.15732259226715792,0.0,406.842174542999,667.1038227279521,350.33378650942416,604.1694389452548,99.1151809095626,0.6987164066343584,5399.513652170036,0.1,"WIDE-a band 300-8000 (W4 band, da600, cap6000)"
"WIDE-a band 300-8000 (W4 band, da600, cap6000)",intended,1.0,5000,0.9304,0.9778,1.0,0.9304,0.9778,0.057022015209029414,0.07613518957450248,0.0,329.813350002044,457.1036833584984,278.1111686611968,394.3503583595694,99.45962493371185,0.6987164066343584,5399.513652170036,0.1,"WIDE-a band 300-8000 (W4 band, da600, cap6000)"
"WIDE-a band 300-8000 (W4 band, da600, cap6000)",realized,1.0,5000,0.6004,0.7038,1.0,0.6004,0.7038,0.0812255514951741,0.1797818102767272,0.0,428.74298329114157,731.7469400442507,370.0157254249671,664.0506954157768,98.18040538992474,0.7042106469961606,5416.564817980807,0.12,"WIDE-a band 300-8000 (W4 band, da600, cap6000)"
"WIDE-a band 300-8000 (W4 band, da600, cap6000)",intended,1.0,5000,0.9314,0.9784,1.0,0.9314,0.9784,0.056974080016366696,0.07596577200706592,0.0,329.307520203683,453.78093902906517,277.8114619937551,393.62386844938425,98.96862994964108,0.7042106469961606,5416.564817980807,0.12,"WIDE-a band 300-8000 (W4 band, da600, cap6000)"
"WIDE-a band 300-8000 (W4 band, da600, cap6000)",realized,1.0,5000,0.5398,0.634,1.0,0.5398,0.634,0.08976160991538823,0.21669839413157216,0.0,453.44245561609546,836.21868131473,396.07362964542506,775.0383126431304,97.22683945176428,0.7024703780296985,5409.939003579617,0.15,"WIDE-a band 300-8000 (W4 band, da600, cap6000)"
"WIDE-a band 300-8000 (W4 band, da600, cap6000)",intended,1.0,5000,0.9352,0.98,1.0,0.9352,0.98,0.05679050401459547,0.07584107259442047,0.0,328.2122903000237,450.15996545960434,276.5808218690683,389.56798893541554,97.9728109564467,0.7024703780296985,5409.939003579617,0.15,"WIDE-a band 300-8000 (W4 band, da600, cap6000)"
"WIDE-a band 300-8000 (W4 band, da600, cap6000)",realized,1.0,5000,0.462,0.5416,1.0,0.462,0.5416,0.10886496209963503,0.28076203050753723,0.0,506.0408212427577,1019.5311939797173,447.8843288838907,958.8953669582827,95.79937922543895,0.7064338180125134,5389.239997323765,0.2,"WIDE-a band 300-8000 (W4 band, da600, cap6000)"
"WIDE-a band 300-8000 (W4 band, da600, cap6000)",intended,1.0,5000,0.9428,0.984,1.0,0.9428,0.984,0.05701825650638058,0.07584221418698137,0.0,325.45207679813643,446.95539886703773,274.16956865429006,385.4125644653143,96.50292700059559,0.7064338180125134,5389.239997323765,0.2,"WIDE-a band 300-8000 (W4 band, da600, cap6000)"
"WIDE-a band 300-8000 (W4 band, da600, cap6000)",realized,1.0,5000,0.4048,0.4672,1.0,0.4048,0.4672,0.13005135304185245,0.34574219897519304,0.0,566.377784086301,1196.3682026828276,506.22305130422046,1138.9164457729103,94.17735280162606,0.702881875945798,5420.514463236437,0.25,"WIDE-a band 300-8000 (W4 band, da600, cap6000)"
"WIDE-a band 300-8000 (W4 band, da600, cap6000)",intended,1.0,5000,0.9512,0.9886,1.0,0.9512,0.9886,0.05700727442112999,0.07582082838728149,0.0,321.77454870129236,437.49479440900325,272.1134208308647,376.9133542978472,95.06702509651544,0.702881875945798,5420.514463236437,0.25,"WIDE-a band 300-8000 (W4 band, da600, cap6000)"
"WIDE-a band 300-8000 (W4 band, da600, cap6000)",realized,1.0,5000,0.361,0.425,1.0,0.361,0.425,0.149275464921707,0.41024889334656184,0.0,621.3068149540537,1374.71619199253,559.9454341564277,1311.9065305320016,93.32682401415352,0.7147482526165732,5457.702731871884,0.3,"WIDE-a band 300-8000 (W4 band, da600, cap6000)"
