alt_km,i_deg,da_km,horizon_steps,horizon_days,RAAN_rate_deg_per_day,argp_rate_deg_per_day,dRAAN_rate_deg_per_day,dlambda_rate_deg_per_day,dRAAN_available_deg,theta_equiv_deg,dv_equiv_saved_ms,frac_of_budget
400.0,98.0,200.0,6000,4.166666666666667,1.1249538901256524,-1.8250776703422427,-0.10897009610825249,-239.66842054897197,0.4540420671177188,0.44962336093209393,60.20985784422345,0.1259278296884826
400.0,98.0,200.0,12000,8.333333333333334,1.1249538901256524,-1.8250776703422427,-0.10897009610825249,-239.66842054897197,0.9080841342354375,0.8992467218641879,120.41878873158481,0.25185372066343825
400.0,98.0,400.0,3000,2.0833333333333335,1.1249538901256524,-1.8250776703422427,-0.20473627720675372,-462.7435269961364,0.4265339108474036,0.42238291214764756,56.562058321397224,0.11829852290226404
400.0,98.0,400.0,6000,4.166666666666667,1.1249538901256524,-1.8250776703422427,-0.20473627720675372,-462.7435269961364,0.8530678216948072,0.8447658242952951,113.12334816355819,0.23659543854409187
400.0,98.0,400.0,12000,8.333333333333334,1.1249538901256524,-1.8250776703422427,-0.20473627720675372,-462.7435269961364,1.7061356433896144,1.6895316485905902,226.24054855587164,0.47317801913571567
400.0,98.0,600.0,3000,2.0833333333333335,1.1249538901256524,-1.8250776703422427,-0.28920245515787285,-670.7902915710928,0.6025051149122351,0.596641576551057,79.89717059666516,0.16710348856028354
400.0,98.0,600.0,6000,4.166666666666667,1.1249538901256524,-1.8250776703422427,-0.28920245515787285,-670.7902915710928,1.2050102298244703,1.193283153102114,159.79217522456366,0.3342024470360307
400.0,98.0,600.0,12000,8.333333333333334,1.1249538901256524,-1.8250776703422427,-0.28920245515787285,-670.7902915710928,2.4100204596489405,2.386566306204228,319.5670230513019,0.6683686541326157
800.0,0.0,50.0,3000,2.0833333333333335,-6.612036424933493,6.612036424933493,0.1588597012177609,-53.363742986264896,0.33095771087033526,0.0,0.0,0.0
800.0,0.0,50.0,6000,4.166666666666667,-6.612036424933493,6.612036424933493,0.1588597012177609,-53.363742986264896,0.6619154217406705,0.0,0.0,0.0
800.0,0.0,50.0,12000,8.333333333333334,-6.612036424933493,6.612036424933493,0.1588597012177609,-53.363742986264896,1.323830843481341,0.0,0.0,0.0
800.0,0.0,100.0,3000,2.0833333333333335,-6.612036424933493,6.612036424933493,0.3128456723841646,-105.81165956584437,0.6517618174670097,0.0,0.0,0.0
800.0,0.0,100.0,6000,4.166666666666667,-6.612036424933493,6.612036424933493,0.3128456723841646,-105.81165956584437,1.3035236349340193,0.0,0.0,0.0
800.0,0.0,100.0,12000,8.333333333333334,-6.612036424933493,6.612036424933493,0.3128456723841646,-105.81165956584437,2.6070472698680387,0.0,0.0,0.0
800.0,0.0,200.0,3000,2.0833333333333335,-6.612036424933493,6.612036424933493,0.6069145357000849,-208.04676457495646,1.2644052827085104,0.0,0.0,0.0
