kind,alt,e_target,e_sat,phase_deg,relation,rollout_seed,success_n,total,wall_s
diag,MEO_low,0.5,0.5,30,fully_random,1337,0,200,1.7
diag,MEO_low,0.5,0.5,30,fully_random,31415,0,200,1.7
diag,MEO_low,0.5,0.5,90,same_orbit,42,0,200,1.8
diag,MEO_low,0.3,0.3,180,fully_random,31415,0,200,6.9
diag,MEO_low,0.5,0.5,90,same_orbit,1337,0,200,1.9
diag,MEO_low,0.5,0.5,90,same_orbit,31415,0,200,1.8
diag,MEO_low,0.5,0.5,90,fully_random,42,0,200,2.0
diag,MEO_low,0.5,0.5,90,fully_random,1337,0,200,1.9
diag,MEO_low,0.5,0.5,90,fully_random,31415,0,200,1.9
diag,MEO_low,0.5,0.5,150,same_orbit,42,0,200,1.9
diag,MEO_low,0.5,0.5,150,same_orbit,1337,0,200,1.9
diag,MEO_low,0.5,0.5,150,same_orbit,31415,0,200,1.9
diag,MEO_low,0.5,0.5,150,fully_random,42,0,200,1.9
diag,MEO_low,0.5,0.5,150,fully_random,1337,0,200,1.9
diag,MEO_low,0.5,0.5,150,fully_random,31415,0,200,1.9
diag,MEO_low,0.5,0.5,180,same_orbit,42,0,200,2.0
diag,MEO_low,0.5,0.5,180,same_orbit,1337,0,200,1.9
diag,MEO_low,0.5,0.5,180,same_orbit,31415,0,200,1.9
diag,MEO_low,0.5,0.5,180,fully_random,42,0,200,1.9
diag,MEO_low,0.5,0.5,180,fully_random,1337,0,200,1.9
diag,MEO_low,0.5,0.5,180,fully_random,31415,0,200,1.9
diag,MEO,0.0,0.0,30,same_orbit,42,27,200,5.7
diag,MEO,0.0,0.0,30,same_orbit,1337,34,200,5.7
diag,MEO,0.0,0.0,30,same_orbit,31415,24,200,5.7
diag,MEO,0.0,0.0,30,fully_random,42,51,200,6.2
diag,MEO,0.0,0.0,30,fully_random,1337,54,200,6.2
diag,MEO,0.0,0.0,30,fully_random,31415,32,200,6.1
diag,MEO,0.0,0.0,90,same_orbit,42,8,200,8.7
diag,MEO,0.0,0.0,90,same_orbit,1337,8,200,8.9
diag,MEO,0.0,0.0,90,fully_random,42,51,200,6.5
diag,MEO,0.0,0.0,90,same_orbit,31415,8,200,9.3
diag,MEO,0.0,0.0,90,fully_random,1337,54,200,6.2
diag,MEO,0.0,0.0,90,fully_random,31415,32,200,6.5
diag,MEO,0.0,0.0,150,same_orbit,42,17,200,6.1
diag,MEO,0.0,0.0,150,same_orbit,1337,18,200,5.9
diag,MEO,0.0,0.0,150,same_orbit,31415,13,200,5.9
diag,MEO,0.0,0.0,150,fully_random,42,51,200,5.8
diag,MEO,0.0,0.0,150,fully_random,1337,54,200,6.2
diag,MEO,0.0,0.0,150,fully_random,31415,32,200,6.1
diag,MEO,0.0,0.0,180,same_orbit,42,16,200,5.9
