file,success,cause,gap0_deg,da0_km,e_t,e_s,steps,dv,hohmann,shape_lb,burn_records,warp_share,final_dist_km,final_rvel
ep_0000166.npz,1,1,172.17,-596.0,0.0622,0.0759,830,305.0,290.7,290.7,15,0.982,29.52,16.69
ep_0000167.npz,1,1,174.69,-397.8,0.1834,0.1562,1540,230.0,95.8,95.8,11,0.992,29.92,18.82
ep_0000168.npz,1,1,-66.68,-324.5,0.2258,0.1848,751,220.0,122.3,192.4,10,0.987,29.75,27.11
ep_0000169.npz,1,1,20.66,-95.9,0.054,0.0928,782,290.0,22.0,145.4,14,0.981,29.37,13.16
ep_0000170.npz,1,1,-56.41,-90.6,0.2932,0.2971,695,180.0,21.8,88.8,8,0.989,29.68,19.52
ep_0000171.npz,1,1,-72.53,-204.4,0.1009,0.1547,870,355.0,90.2,267.6,16,0.982,28.7,28.48
ep_0000172.npz,1,1,47.71,234.0,0.1439,0.1747,679,150.0,61.3,95.3,6,0.991,29.82,7.72
ep_0000173.npz,1,1,-28.06,-530.4,0.1881,0.1482,740,185.0,107.7,133.2,10,0.987,29.47,17.59
ep_0000174.npz,1,1,121.26,-155.5,0.0061,0.0663,1211,280.0,36.6,196.4,13,0.989,28.88,20.89
ep_0000175.npz,1,1,-2.79,193.1,0.0266,0.0771,364,255.0,82.0,232.6,12,0.967,29.69,25.07
ep_0000176.npz,1,1,-162.65,391.2,0.007,0.0362,1167,250.0,139.7,143.8,10,0.991,29.14,32.37
ep_0000177.npz,1,1,102.91,438.5,0.1056,0.1069,721,200.0,207.6,207.6,8,0.989,29.62,31.18
ep_0000178.npz,1,1,29.71,254.2,0.1637,0.1832,606,105.0,72.7,72.7,6,0.99,29.96,23.43
ep_0000179.npz,1,1,49.78,-119.5,0.0572,0.0567,849,270.0,29.5,222.7,12,0.986,29.3,29.74
ep_0000180.npz,1,1,-85.43,354.9,0.1727,0.2034,1089,285.0,121.7,196.1,12,0.989,26.96,49.82
ep_0000181.npz,1,1,77.26,131.7,0.179,0.1663,1184,280.0,24.6,208.7,13,0.988,29.49,23.31
ep_0000182.npz,1,1,-155.97,190.3,0.1598,0.1647,1405,445.0,82.3,277.8,19,0.986,28.63,25.87
ep_0000183.npz,1,1,28.37,403.6,0.1567,0.2057,401,220.0,155.7,223.1,10,0.975,28.74,30.43
ep_0000184.npz,1,1,58.81,-396.6,0.1638,0.1998,1231,290.0,93.2,172.4,13,0.989,29.58,25.79
ep_0000185.npz,1,1,-66.55,-255.8,0.2763,0.2172,807,270.0,79.8,245.9,12,0.985,26.61,49.84
ep_0000186.npz,1,1,73.19,-343.2,0.1239,0.0958,1546,235.0,67.7,151.2,10,0.994,29.64,21.3
ep_0000187.npz,1,1,105.75,280.0,0.1372,0.1739,982,230.0,83.3,114.7,11,0.988,29.91,15.44
ep_0000188.npz,1,1,77.05,173.5,0.2792,0.2535,843,135.0,58.1,88.9,6,0.992,29.51,20.98
ep_0000189.npz,1,1,-137.3,143.3,0.2666,0.286,1445,280.0,46.3,130.9,13,0.99,29.83,25.69
ep_0000190.npz,1,1,-32.09,125.7,0.1599,0.1538,973,160.0,31.5,67.5,7,0.993,29.79,21.64
ep_0000191.npz,1,1,95.77,274.5,0.1636,0.2045,1148,230.0,60.7,142.4,11,0.99,29.95,13.04
ep_0000192.npz,1,1,-33.09,138.5,0.0391,0.066,341,270.0,47.4,222.7,12,0.962,29.8,34.11
ep_0000193.npz,1,1,-40.72,-586.7,0.02,0.0593,511,285.0,141.5,224.0,12,0.977,29.81,20.07
ep_0000194.npz,1,1,-23.12,598.1,0.0236,0.033,1146,270.0,127.4,158.5,14,0.987,29.55,9.42
ep_0000195.npz,1,1,-172.1,-221.2,0.0889,0.1594,1569,345.0,43.8,193.7,17,0.989,29.56,23.99
ep_0000196.npz,1,1,-38.35,355.4,0.0464,0.0663,665,270.0,135.6,135.6,12,0.98,29.03,23.56
ep_0000197.npz,1,1,-62.88,-389.8,0.1733,0.1717,875,165.0,121.3,121.3,9,0.99,28.7,26.95
ep_0000198.npz,1,1,-139.63,-523.9,0.2115,0.2187,1638,265.0,109.0,109.0,13,0.992,29.78,15.17
ep_0000199.npz,1,1,42.62,284.0,0.0845,0.0369,618,190.0,64.7,151.3,9,0.985,28.95,23.7
ep_0000200.npz,1,1,102.88,234.6,0.0507,0.0744,694,265.0,102.2,211.0,12,0.981,28.78,34.87
