scenario,filt,seeds,sigma_beta_mrad,rho_km_mean,rho_over_r,crlb_los_m,crlb_los_rb_m,pos_rmse_settled_m,vel_rmse_settled_ms,pos_err_final_m,rel_range_err_settled,rel_range_err_final,nees_med,nees_in_bounds,conv5pct_frac,conv5pct_min,acq_min,acq_fail_frac,diverged_frac,n_eff_final
G6_leo_5km_1ms_burns,BO-RPB,12,3.0,14.83302839929592,0.0021910199784943383,17.917173550971107,7.24816520564114,60.668942669271125,0.06449729094855827,67.16743866587396,0.0028476426980779796,0.0025716217554737496,1.4229744125515413,0.8736559139784946,1.0,30.5,0.0,0.0,0.0,1.00000000003335
G5_leo_10km_burns,RB-EKF,12,3.0,80.03738642817623,0.011821969825211349,32.90162038045655,7.004713708761201,8.394565226302547,0.009275841535948348,9.828786001534088,6.620613858176815e-05,6.554802146412089e-05,1.0783667677355253,0.9514388489208633,1.0,0.0,0.0,0.0,0.0,1.0
G5_leo_10km_burns,BO-BLS-MPC,12,3.0,80.03738642817623,0.011821969825211349,32.90162038045655,7.004713708761201,157.0049205648371,0.1756703228329095,169.1535634106903,0.001355600280645791,0.0011985305502283158,0.6684484648514287,0.9914529914529915,1.0,44.0,44.0,0.0,0.0,1.0
G5_leo_10km_burns,BO-RPB,12,3.0,80.03738642817623,0.011821969825211349,32.90162038045655,7.004713708761201,169.5673992748383,0.1947637529400445,187.48599902006123,0.0017627837400804463,0.0013312183347675716,0.9915504589258454,0.9028776978417267,1.0,37.0,0.0,0.0,0.0,1.0
G6_leo_5km_1ms_burns,RB-EKF,12,30.0,14.83302839929592,0.0021910199784943383,179.17173550970034,9.294179219916396,8.759166563048861,0.008140993620580333,8.494524786688903,0.0003132987600734415,0.0002876571374944595,0.8021180317613956,0.9758064516129032,1.0,0.0,0.0,0.0,0.0,1.0
G6_leo_5km_1ms_burns,BO-BLS-MPC,12,30.0,14.83302839929592,0.0021910199784943383,179.17173550970034,9.294179219916396,755.1471641484636,0.8441589560731693,827.2204181642772,0.035442990412600656,0.03164924710092574,0.4446641100542644,1.0,0.9166666666666666,142.0,114.0,0.0,0.0,1.0
G6_leo_5km_1ms_burns,BO-RPB,12,30.0,14.83302839929592,0.0021910199784943383,179.17173550970034,9.294179219916396,1173.8261649725841,1.233961444895558,1369.0465309190818,0.05563123080028145,0.05247472421733851,2.7811459372444993,0.4838709677419355,0.5,126.0,0.0,0.0,0.0,1.0000007228366896
G5_leo_10km_burns,RB-EKF,12,30.0,80.03738642817623,0.011821969825211349,329.0162038045646,7.357034662720362,8.496390476007463,0.009245047378216416,9.581342688876333,6.703722994597988e-05,6.545429156860441e-05,1.0753091320170078,0.9514388489208634,1.0,0.0,0.0,0.0,0.0,1.0
G5_leo_10km_burns,BO-BLS-MPC,12,30.0,80.03738642817623,0.011821969825211349,329.0162038045646,7.357034662720362,1560.1085892737833,1.735384024851845,1610.8761284571044,0.012882213861626999,0.011425821745268731,0.437903564696413,0.9734299516908212,1.0,78.0,71.0,0.0,0.0,1.0
G5_leo_10km_burns,BO-RPB,12,30.0,80.03738642817623,0.011821969825211349,329.0162038045646,7.357034662720362,1739.5714784611973,2.0067456356564453,2076.39197631555,0.015348022578868156,0.01487426433435249,1.2411580668352968,0.8435251798561152,0.9166666666666666,93.0,0.0,0.0,0.0,1.0000000139318417
