family,rho_epoch_m,rho_mean_m,rho_over_r,f_oop,di_deg,dv_ms,arc_min,n_obs,zsep_max_m,zsep_epoch_m,el_max_deg,bo_sig_range_m,bo_sig_range_frac,bo_sig_vel_ms,bo_sig_plane_rad,bo_sig_plane_deg,bo_sig_i_deg,bo_sig_raan_deg,bo_sig_a_m,bo_sig_e,bo_sig_u_deg,bo_sig_scale_rho_m,bo_corr_range_plane,rb_corr_range_plane,bo_cond,rb_sig_range_m,rb_sig_vel_ms,rb_sig_plane_deg,secs
TB_5km,5015.560946204886,6444.160084327014,0.0007414830198984817,0.9454098724233998,0.04004004004655482,0.0,185.0,186,4736.044683233317,4727.049362116999,70.47173549072319,726.2396682592341,0.1447972970618085,0.2696213739729108,0.00010118258476372654,0.005797335067186239,0.005797331730819722,0.008896613357522221,57.86817576445047,6.966550588976982e-08,0.007769212311386503,140.3196452103471,0.9999998794367163,0.992444986925625,130157129292416.72,2.8905024413010025,0.001870874693449768,2.331807837218026e-05,0.01
TB_5km,5015.560946204886,16453.523279915276,0.0007414830198984817,0.9454098724233998,0.04004004004655482,1.0,185.0,186,4736.044683233317,4727.049362116999,70.47173549072319,4.8572980000750325,0.0009684456139946607,0.0024063153990130162,6.919892452115384e-07,3.964806321906456e-05,3.9150357607499964e-05,0.008961344609753593,1.349534797165023,9.726497599474113e-08,0.00895800099116399,3.1868823027994675,0.9965826430703404,0.9861008308339787,1771193240.3045926,2.3760618239595352,0.0020795220523895054,1.9607750198789555e-05,0.01
G1_10km,10189.288204268101,38291.90746486309,0.0015063487951499132,0.0,0.0,0.0,277.0,278,0.0,0.0,0.0,222.86732418677278,0.021872707859359384,0.2500714522915945,4.638604649832239e-07,2.657724692651464e-05,0.0,22398.870864457585,42.612493167082384,3.3637179828638507e-07,279.90864543497105,209.55743993317853,0.0,0.0,45869455195.95751,5.389593821767217,0.006691580225889831,2.657724692651464e-05,0.01
G1_10km,10189.288204268101,54043.037367301506,0.0015063487951499132,0.0,0.0,1.0,277.0,278,0.0,0.0,0.0,27.723216228349667,0.002720819715035338,0.0309716727511567,4.972525157712018e-07,2.8490470505952267e-05,0.0,2753.8031824091786,5.620933901157862,3.907174080049787e-07,296.1391335211139,24.73731621897441,0.0,0.0,748198673.0685711,5.422141397054825,0.006782479488859511,2.8490470505952267e-05,0.01
G1_10km,10189.293682812911,38289.60339531325,0.0015063496050788509,0.023635248725707405,0.002002002002002816,0.0,277.0,278,236.82497264558603,236.35248725707402,1.3291612862044553,222.83950517535308,0.021869965879110356,0.2499715454866316,8.887937520624406e-07,5.092413085077475e-05,4.713433064088605e-05,0.5517048602827075,42.60905051966776,3.362875051948962e-07,0.5516890520314619,209.53539507811362,0.9214658093838505,0.033427233667402204,45971683035.33866,5.387782544541979,0.006690044125150524,2.658034892266474e-05,0.01
G1_10km,10189.293682812911,54040.670633831476,0.0015063496050788509,0.023635248725707405,0.002002002002002816,1.0,277.0,278,236.82497264558603,236.35248725707402,1.3291612862044553,27.7072502915503,0.0027192513194792206,0.030946043855283215,5.052279899929421e-07,2.8947431518473375e-05,2.0244532756941998e-05,0.5921546755487186,5.61950846371309,3.9058395357789356e-07,0.5921534518138832,24.72675548284781,0.2522126892852312,0.03494850226633665,748384881.4321924,5.420613416903226,0.0067810948883294895,2.8494208998922012e-05,0.04
G1_10km,10189.3224451993,38277.49582996071,0.0015063538572096392,0.05908812175127106,0.005005005005017728,0.0,277.0,278,592.0624309827332,590.8812175127106,3.324460864933124,222.6947549054283,0.021855698070518022,0.24944842820559823,1.9502584645510054e-06,0.00011174157897843689,0.00011006652342227262,0.22065872711814308,42.591123800407445,3.358470935234387e-07,0.22061943118451174,209.41904354354207,0.9859512475823614,0.08338105068845036,46509453802.659386,5.378284182221066,0.006681985575827193,2.6596568680978177e-05,0.01
G1_10km,10189.3224451993,54028.23389632413,0.0015063538572096392,0.05908812175127106,0.005005005005017728,1.0,277.0,278,592.0624309827332,590.8812175127106,3.324460864933124,27.624028501566084,0.002711076094621105,0.030812224258621453,5.449590618009968e-07,3.122385424860612e-05,2.3390796229252034e-05,0.23677619986390774,5.612064250905136,3.8988735196786424e-07,0.23677317009202387,24.671510185931798,0.5443875560223974,0.08717051687236603,749373737.3685576,5.412599542825905,0.006773828829297527,2.851377489031591e-05,0.01
G1_10km,10189.425168347281,38234.09982855398,0.0015063690434412083,0.11817624305256036,0.010010010010111803,0.0,277.0,278,1184.1248574566473,1181.7624305256036,6.6601129670157,222.20325869605304,0.021807241824230824,0.24760752925258786,3.809624748464524e-06,0.00021827541961560507,0.00021742342763005,0.11028058566075107,42.53067370789665,3.343050791034718e-07,0.11020353855159504,209.0077742788824,0.9963218281859217,0.16545740188835223,48444465614.36252,5.344509248430027,0.0066532775206527405,2.6653602733912785e-05,0.01
G1_10km,10189.425168347281,53983.65970901114,0.0015063690434412083,0.11817624305256036,0.010010010010111803,1.0,277.0,278,1184.1248574566473,1181.7624305256036,6.6601129670157,27.33433790751429,0.0026826182494010015,0.03034352937142554,6.653365268860525e-07,3.8120974946463237e-05,3.203983320076215e-05,0.11823005677022758,5.585917681921953,3.874531181379273e-07,0.11822420062928432,24.476437265077966,0.7880830535804042,0.17293892293622956,753047556.1580716,5.384088600082371,0.006747912237922816,2.8582820497312168e-05,0.01
