a_sat_km,a_tgt_km,di_rel_deg,dv_coarse,dv_fine,dv_inplane,dv_plane,dv_radial,dv_tangential,dv_total,episode,episode_orbits,hohmann_dv,inplane_oop_frac,lambert_dv1,lambert_dv2,lambert_dv_boxcredited,lambert_dv_timematched,lambert_revs,lambert_tof_s,lambert_wait_s,lineage,n_burns,plane_opt_dv,plane_ratio,ratio_boxcredited,ratio_inplane,ratio_total,steps,success,teleport_abs_deg,terminal_cause
6993.417,6733.3595,0.0,300.0,0.0,300.0,0.0,0.0,300.0,300.0,ep_0000035.npz,10.78076329814332,144.39723926746046,0.0,271.76322721714035,190.7893108458619,412.55253806300226,462.5525380630022,8,52313.245099680214,6345.365387991573,T3-canonical,12,0.0,nan,0.7271801099771347,0.6485749732479867,0.6485749732479867,988,1,0.0007389061120063675,1
6993.5705,7112.7145,0.0,240.0,0.0,240.0,0.0,0.0,240.0,240.0,ep_0000036.npz,5.809182805230813,63.49634101357242,0.0,99.89483271520773,35.58264608349992,99.89483271520773,135.47747879869627,0,3806.2194946048335,25615.770716292136,T3-canonical,11,0.0,nan,2.4025266720674234,1.7715121518950911,1.7715121518950911,578,1,0.00043611611189281344,1
6933.41,6996.0985,0.0,260.0,0.0,260.0,0.0,0.0,260.0,260.0,ep_0000037.npz,3.95628547106515,34.04641381471811,0.0,114.84530075541544,100.58691174855484,165.43221250397028,215.4322125003285,3,21299.39896204999,424.6558988764045,T3-canonical,11,0.0,nan,1.571640710504069,1.2068761536745742,1.2068761536745742,384,1,0.0002975512203072953,1
6883.5365,6774.588,0.0,235.0,0.0,235.0,0.0,0.0,235.0,235.0,ep_0000038.npz,12.607079385366918,60.94371204076924,0.0,205.14482931448944,136.74291315466215,291.8877424691516,341.8877424691573,10,63685.595661660744,4654.992977528091,T3-canonical,10,0.0,nan,0.8051040376415812,0.6873601209063529,0.6873601209063529,1166,1,0.0008671405190617261,1
6882.348,6799.4905,0.0,200.0,0.0,200.0,0.0,0.0,200.0,200.0,ep_0000039.npz,7.6238079594473245,46.227988301100595,0.0,106.703423263228,62.096111264841284,118.79953452806929,168.7995345280693,6,37047.57551263114,3018.400083391854,T3-canonical,8,0.0,nan,1.6835082796788663,1.1848373904534817,1.1848373904534817,709,1,0.0005532226127963852,1
6875.069,6958.0895,0.0,75.0,0.0,75.0,0.0,0.0,75.0,75.0,ep_0000040.npz,4.747024290111559,45.560981025981164,0.0,36.80301014791897,69.60436084075035,56.407370988669314,106.4073709886693,3,21993.628551756698,2618.7640449438204,T3-canonical,3,0.0,nan,1.3296134651456355,0.7048383895133197,0.7048383895133197,457,1,0.00034016182656710996,1
6995.147,7108.504,0.0,325.0,0.0,325.0,0.0,0.0,325.0,325.0,ep_0000041.npz,11.548214440129176,60.42900197317795,0.0,76.76159033603034,141.47394484436032,168.23553518039066,218.23553518039492,10,59885.355711548465,3109.3346207865166,T3-canonical,13,0.0,nan,1.9318154137383552,1.489216683851935,1.489216683851935,1148,1,0.0008338079583526395,1
7152.8395,6946.4105,0.0,335.0,0.0,335.0,0.0,0.0,335.0,335.0,ep_0000042.npz,8.487058816441172,110.10207212196565,0.0,195.64496815184043,84.46786324567617,230.1128313975166,280.11283139751646,8,45852.80353596729,1770.6504564606744,T3-canonical,14,0.0,nan,1.4558075617317154,1.195946641675231,1.195946641675231,815,1,0.0006379875350281916,1
6940.08,7094.923,0.0,360.0,0.0,360.0,0.0,0.0,360.0,360.0,ep_0000043.npz,5.326631618304254,83.15273194728161,0.0,183.5455774423851,109.14728723115498,242.6928646735401,292.692864673543,4,26613.190629987257,5066.797752808989,T3-canonical,15,0.0,nan,1.4833563421168412,1.2299582376274478,1.2299582376274478,528,1,0.0004087867025264737,1
6931.2085,6999.188,0.0,185.0,0.0,185.0,0.0,0.0,185.0,185.0,ep_0000044.npz,4.962674829257056,36.91649946496818,0.0,52.194161807289,86.75786971192343,88.95203151921243,138.95203151920964,1,8405.609555295094,16390.78190835674,T3-canonical,8,0.0,nan,2.0797726239680374,1.3313947120983574,1.3313947120983574,482,1,0.0003683444068518669,1
7108.148,6813.712,0.0,345.0,0.0,345.0,0.0,0.0,345.0,345.0,ep_0000045.npz,12.370020496356137,160.06698452175533,0.0,9.35770727467802,155.98365749366906,115.34136476834708,165.34136476834942,7,46236.986222766995,13954.592038272473,T3-canonical,15,0.0,nan,2.991121187900819,2.0865921875228275,2.0865921875228275,1154,1,0.0008696631955232124,1
7053.6745,6778.7985,0.0,330.0,0.0,330.0,0.0,0.0,330.0,330.0,ep_0000046.npz,3.5215088399771606,150.88125424433565,0.0,236.59386255285185,88.84303740683843,275.43689995969027,325.43689995968884,0,3593.027288989969,7939.918583216293,T3-canonical,15,0.0,nan,1.1980965515088753,1.0140214586633427,1.0140214586633427,326,1,0.0002517192441474564,1
7135.9435,6978.631,0.0,270.0,0.0,270.0,0.0,0.0,270.0,270.0,ep_0000047.npz,5.67750154894784,83.76559250630908,0.0,132.54323507142624,46.70838181553976,132.54323507142624,179.2516168869703,4,26257.846463535105,2406.091774929775,T3-canonical,12,0.0,nan,2.0370711477994305,1.5062625637025768,1.5062625637025768,549,1,0.0004125193324953249,1
6983.7555,7153.516,0.0,260.0,0.0,260.0,0.0,0.0,260.0,260.0,ep_0000048.npz,10.841511528525487,90.17696582234203,0.0,174.31129818526853,123.31088190507641,247.62218009034495,297.62218009034495,10,61993.98715810608,2200.449438202247,T3-canonical,11,0.0,nan,1.0499867172849338,0.8735908053663053,0.8735908053663053,1088,1,0.000849383848522348,1
6936.947,6747.852,0.0,185.0,0.0,185.0,0.0,0.0,185.0,185.0,ep_0000049.npz,6.275780711093045,105.47205196778305,0.0,150.30171586006765,53.97129560823854,154.27301146830618,204.27301146830885,5,32405.940635725492,0.0,T3-canonical,8,0.0,nan,1.1991728056595716,0.9056507204266733,0.9056507204266733,577,1,0.0004603692312922574,1
6847.413,7143.429,0.0,185.0,0.0,185.0,0.0,0.0,185.0,185.0,ep_0000050.npz,8.04850490153397,159.73725419339917,0.0,93.14052873482501,66.36023541062934,109.50076414545435,159.50076414545435,2,14168.4655832284,28970.312280547754,T3-canonical,10,0.0,nan,1.6894859268219984,1.1598690513563432,1.1598690513563432,806,1,0.000602711227382404,1
6856.246,7098.294,0.0,245.0,0.0,245.0,0.0,0.0,245.0,245.0,ep_0000051.npz,9.335128098871722,131.1176338191235,0.0,60.51753850162848,153.00418927922587,163.52172778085435,213.5217277808593,9,51352.84365645667,2295.440769838483,T3-canonical,11,0.0,nan,1.4982718402311634,1.1474242108580508,1.1474242108580508,926,1,0.00073382035904172,1
