geom,rho0_km,rho_over_r,arc_min,n_obs,sigma_beta_mrad,dv_ms,burn_dir,crlb_los_m,crlb_rel,fim_cond,crlb_los_rb_m,crlb_rel_rb,D_k0.5,D_k0.8,D_k1.25,D_k2,beta_floor_mrad
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,3000.0,3001,1.0,0.0,none,19.65084354522316,0.003921458670499629,21610.740483113896,1.9777797948995466,0.00039467932799928707,142.6139990963937,53.52561881897011,59.86212390127193,198.90902055540556,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,3000.0,3001,1.0,0.1,radial,19.37743931660625,0.003866899008447784,19347.061620387893,1.9711211060417404,0.0003933505416245184,145.9351692600672,54.39435916730288,60.6067048608488,200.90715053730773,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,3000.0,3001,1.0,1.0,radial,15.279911426701796,0.003049209618447738,15064.9324935858,1.9234266571507297,0.00038383279193057105,241.35896212638588,73.39296362998842,73.63479699442132,233.82638018798963,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,3000.0,3001,1.0,1.0,prograde,6.261966979102528,0.0012496178420062381,641.6738408071575,1.9579666881197757,0.00039072548860342283,530.5907456778082,177.81409963274365,177.9255928537413,538.1503428501173,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,3000.0,3001,1.0,10.0,prograde,2.626327264791265,0.0005241013598415641,139.30683638361282,1.480442354102865,0.0002954322796530938,1291.878592909309,430.2556334114685,416.6897212003669,1222.792229949839,3.4088287748090806e-09
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,15.0,16,1.0,0.0,none,1052087.8736360108,103.25430516287763,449873144793.87476,17.580037205417398,0.0017253449753294253,0.004859802718845255,0.0019399243371556892,0.0024174366415399416,0.009620225081080184,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,30.0,31,1.0,0.0,none,96169.12721843254,9.438257637873942,12217011974.67743,10.144823284808089,0.0009956361113191976,0.05318886194923095,0.021223690210594327,0.0264327934498101,0.10509005666683711,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,30.0,31,1.0,0.1,radial,4730.121861734926,0.46422495535591524,29053907.41102665,10.152038183223516,0.0009963441979166897,2.0989304334390755,0.5332381876702458,0.4359788007997631,1.1276405434625154,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,30.0,31,1.0,1.0,radial,511.50052979368184,0.050199829422767975,293971.8436271494,10.216737492098538,0.001002693935756858,19.288180727087344,4.937382364915803,4.014238732844932,10.17700509969737,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,30.0,31,1.0,1.0,prograde,624.2221285320724,0.061262584394324596,431898.9800427518,10.194549280713987,0.0010005163340500718,16.062357771664917,4.067977157459211,3.2692265257465642,8.151686287560079,7.851497230149107e-10
