alt_km,a_km,period_min,phase_gap_deg,n_revs,da_km,a_ph_km,phasing_peri_alt_km,dv_total_ms,dv_frac_of_budget,t_total_hr,drift_deg_per_hr,decisions_if_60s,decisions_if_warp5min,decisions_if_warp1hr,feasible_dv,feasible_60s_horizon,feasible_warp5_horizon,reentry_risk
550.0,6921.0,95.50211815557677,90.0,5,-232.66651138192694,6688.333488618073,84.66697723614611,266.3346113641164,0.5571853794228377,7.5605843539831605,11.40504583682198,453.63506123898964,90.72701224779793,7.5605843539831605,True,True,True,True
550.0,6921.0,95.50211815557677,90.0,8,-144.94910097965877,6776.050899020342,260.10179804068247,163.2167497098726,0.3414576353763025,12.335690261762,7.105238871121696,740.1414157057201,148.02828314114402,12.335690261762,True,True,True,False
550.0,6921.0,95.50211815557677,90.0,10,-115.83604447870981,6805.1639555212905,318.32791104258035,129.73274751682766,0.2714074215833215,15.519094200281225,5.678150194409354,931.1456520168736,186.2291304033747,15.519094200281225,True,True,True,False
550.0,6921.0,95.50211815557677,90.0,15,-77.11520897217189,6843.884791027828,395.76958205565626,85.75321191803414,0.17940002493312582,23.47760404657929,3.780099197860082,1408.6562427947574,281.7312485589515,23.47760404657929,True,True,True,False
550.0,6921.0,95.50211815557677,90.0,20,-57.795828693101186,6863.204171306898,434.40834261379763,64.04293862720624,0.13398104315315112,31.43611389287736,2.8330853095566395,1886.1668335726415,377.2333667145283,31.43611389287736,True,True,True,False
550.0,6921.0,95.50211815557677,90.0,30,-38.50360153269395,6882.496398467306,472.9927969346121,42.51561932195182,0.08894481029697032,47.353133585473486,1.8874024360224908,2841.188015128409,568.2376030256819,47.353133585473486,True,False,True,False
550.0,6921.0,95.50211815557677,90.0,50,-23.089267847251147,6897.910732152749,503.8214643054977,25.423827846472705,0.053187924365005655,79.18717297066574,1.1318094579769182,4751.230378239944,950.2460756479888,79.18717297066574,True,False,True,False
550.0,6921.0,95.50211815557677,90.0,80,-14.426270214914345,6906.573729785086,521.1474595701713,15.859987365694906,0.03317988988639101,126.93823204845411,0.707159238681301,7616.293922907247,1523.2587845814494,126.93823204845411,True,False,True,False
550.0,6921.0,95.50211815557677,90.0,100,-11.539811598084867,6909.460188401915,526.9203768038303,12.680036697498508,0.026527273425729095,158.77227143364638,0.5656683441150833,9526.336286018783,1905.2672572037566,158.77227143364638,True,False,True,False
550.0,6921.0,95.50211815557677,120.0,1,-1639.288484858931,5281.711515141069,-2728.576969717862,2573.5929442829,5.384085657495607,1.0611346461730753,80.35604349996214,63.668078770384525,12.733615754076904,1.0611346461730753,False,True,True,True
