sweep,geom,arc_min,rho0_km,dv_ms,burn_frac,ang_from_los_deg,crlb_los_m,crlb_rel,crlb_rel_drift,info_gain,fim_cond
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,15,30.90165375981567,0.00303275882871499,0.015075263317472911,24.708936990410336,3066.5369626488714
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,30,33.486819102498046,0.003286472855726169,0.015075263317472911,21.0411617062942,3588.054847312389
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,45,38.56598090827672,0.0037849533878256633,0.015075263317472911,15.86385538996077,4786.219236948877
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,60,47.44918333703114,0.004656771148857625,0.015075263317472911,10.479969580945347,7431.825632921482
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,75,56.76179179665818,0.005570731797818966,0.015075263317472911,7.323274504286326,11306.629304394235
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,90,48.626997221654634,0.004772364491690948,0.015075263317472911,9.978438887156853,9335.886091504799
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,105,32.91035998755221,0.003229897842497633,0.015075263317472911,21.784732952989344,5196.594810692437
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,120,23.522607700509134,0.002308562406808347,0.015075263317472911,42.642884574703764,3509.8962574139186
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,135,18.759839766732487,0.0018411334914321387,0.015075263317472911,67.0438980375191,3135.2895502994547
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,150,16.452929708435793,0.001614728073109555,0.015075263317472911,87.16276961760673,3362.379118582419
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,165,15.532684736206404,0.001524413131203808,0.015075263317472911,97.79675644004627,3746.9887758488785
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,180,15.566163057027532,0.0015276987700188044,0.015075263317472911,97.37654365098058,3866.1713441317906
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,195,16.534716095306706,0.001622754775783119,0.015075263317472911,86.30262815685191,3651.553809161865
