rho_km,arc_min,burn,sigma_range_m,sigma_pos_m,sigma_vel_ms,frac_of_tb5_pos,frac_of_tb5_vel,frac_of_t3_pos,frac_of_t3_vel
5.011105610535344,300.0,1 m/s prograde,6.915211227511569,7.055407062575079,0.00787082719730342,0.0013830422455023137,0.00787082719730342,0.0002305070409170523,0.0001574165439460684
5.011105610535344,600.0,drift,164.00418007749906,164.0076019647727,0.18567707965779393,0.03280083601549981,0.18567707965779393,0.005466806002583302,0.0037135415931558785
5.011105610535344,600.0,1 m/s radial,11.219410993754316,11.276829219705624,0.012756371918154338,0.0022438821987508634,0.012756371918154338,0.0003739803664584772,0.0002551274383630868
5.011105610535344,600.0,1 m/s prograde,7.974852712199717,8.058416028977247,0.008970610787347339,0.0015949705424399435,0.008970610787347339,0.0002658284237399906,0.00017941221574694678
9.998283040369412,60.0,drift,35832.76050092193,35832.76080271403,40.62569813446768,7.166552100184386,40.62569813446768,1.1944253500307311,0.8125139626893536
9.998283040369412,60.0,1 m/s radial,143.59080704889146,143.67235360770863,0.1696152574917865,0.028718161409778294,0.1696152574917865,0.004786360234963049,0.0033923051498357297
9.998283040369412,60.0,1 m/s prograde,193.70569559959884,193.80622852564497,0.19587898684134758,0.03874113911991977,0.19587898684134758,0.006456856519986628,0.003917579736826952
9.998283040369412,120.0,drift,3063.5951632601814,3063.5963494186326,3.4734991594039095,0.6127190326520363,3.4734991594039095,0.10211983877533938,0.06946998318807819
9.998283040369412,120.0,1 m/s radial,49.32789720659513,49.42699349919794,0.056234524315647974,0.009865579441319026,0.056234524315647974,0.0016442632402198377,0.0011246904863129595
9.998283040369412,120.0,1 m/s prograde,42.81036583999941,43.05124709655101,0.04136800065944455,0.008562073167999883,0.04136800065944455,0.001427012194666647,0.000827360013188891
9.998283040369412,180.0,drift,1805.6202781790698,1805.6216876567214,2.047638244760243,0.36112405563581396,2.047638244760243,0.060187342605968995,0.04095276489520486
9.998283040369412,180.0,1 m/s radial,44.20821041258712,44.25943217730356,0.048254001915797,0.008841642082517424,0.048254001915797,0.001473607013752904,0.0009650800383159399
9.998283040369412,180.0,1 m/s prograde,23.406333595493994,23.68787198032768,0.023719389171136245,0.004681266719098799,0.023719389171136245,0.0007802111198497998,0.0004743877834227249
9.998283040369412,300.0,drift,811.6636753202565,811.6660144992832,0.9204000222280889,0.1623327350640513,0.9204000222280889,0.02705545584400855,0.018408000444561777
