gamma,gap_deg,da_km,warpset,N_decisions,S_simsteps,terminal_value_per_decision,frac_per_decision,terminal_value_semiMDP,frac_semiMDP,visible_10pct,visible_1pct
0.999,90.0,200.0,D16 (warp 5/30/60min),25,637,9.752977125970466,0.9752977125970466,5.287081437599488,0.5287081437599488,1,1
0.999,90.0,340.0,coast-only (tau=1),441,426,6.432507594921204,0.6432507594921204,6.529771503620098,0.6529771503620098,1,1
0.999,90.0,340.0,legacy D10 (warp-5min),105,426,9.002772252562131,0.9002772252562131,6.529771503620098,0.6529771503620098,1,1
0.999,90.0,340.0,D16 (warp 5/30min),40,426,9.607702107358119,0.9607702107358118,6.529771503620098,0.6529771503620098,1,1
0.999,90.0,340.0,D16 (warp 5/30/60min),34,426,9.665550620990835,0.9665550620990835,6.529771503620098,0.6529771503620098,1,1
0.999,180.0,50.0,coast-only (tau=1),4307,4304,0.13444906591415898,0.013444906591415898,0.13485322115280718,0.013485322115280717,0,1
0.999,180.0,50.0,legacy D10 (warp-5min),867,4304,4.2002804790136326,0.4200280479013633,0.13485322115280718,0.013485322115280717,1,1
0.999,180.0,50.0,D16 (warp 5/30min),152,4304,8.589229565610529,0.8589229565610529,0.13485322115280718,0.013485322115280717,1,1
0.999,180.0,50.0,D16 (warp 5/30/60min),81,4304,9.221563184394988,0.9221563184394989,0.13485322115280718,0.013485322115280717,1,1
0.999,180.0,100.0,coast-only (tau=1),2224,2219,1.0805523559661097,0.10805523559661097,1.0859713639263873,0.10859713639263872,1,1
0.999,180.0,100.0,legacy D10 (warp-5min),456,2219,6.336692476264984,0.6336692476264985,1.0859713639263873,0.10859713639263872,1,1
0.999,180.0,100.0,D16 (warp 5/30min),91,2219,9.12976141824096,0.912976141824096,1.0859713639263873,0.10859713639263872,1,1
0.999,180.0,100.0,D16 (warp 5/30/60min),55,2219,9.464591026050268,0.9464591026050269,1.0859713639263873,0.10859713639263872,1,1
0.999,180.0,200.0,coast-only (tau=1),1188,1178,3.046491792710793,0.3046491792710793,3.07712494009905,0.307712494009905,1,1
0.999,180.0,200.0,legacy D10 (warp-5min),248,1178,7.80263120094058,0.780263120094058,3.07712494009905,0.307712494009905,1,1
0.999,180.0,200.0,D16 (warp 5/30min),53,1178,9.483548639781192,0.9483548639781192,3.07712494009905,0.307712494009905,1,1
0.999,180.0,200.0,D16 (warp 5/30/60min),34,1178,9.665550620990835,0.9665550620990835,3.07712494009905,0.307712494009905,1,1
0.999,180.0,340.0,coast-only (tau=1),767,752,4.642260095219158,0.4642260095219158,4.712454238855212,0.47124542388552126,1,1
0.999,180.0,340.0,legacy D10 (warp-5min),171,752,8.42749467234841,0.842749467234841,4.712454238855212,0.47124542388552126,1,1
0.999,180.0,340.0,D16 (warp 5/30min),51,752,9.502544225688343,0.9502544225688343,4.712454238855212,0.47124542388552126,1,1
0.999,180.0,340.0,D16 (warp 5/30/60min),40,752,9.607702107358119,0.9607702107358118,4.712454238855212,0.47124542388552126,1,1
