trial,n_intervals_analytic,n_components_bruteforce,span_ratio,support_rel_err
125,2,2,137740.25198501546,7.18744416500356e-06
126,1,1,13139.814617505826,7.534552951502002e-05
127,2,2,62199.44387418217,1.5916586532179296e-05
128,2,2,132493.38316899596,7.472083457639652e-06
129,1,1,13717.695046375375,7.217084957785007e-05
130,1,1,11088.407042246885,8.928702256430497e-05
131,2,2,43113.691951254725,2.296259052900692e-05
132,1,1,4146.662713260064,0.00023876752998621648
133,1,1,4084.771845700303,0.00024237250844606732
134,1,1,16480.942476158292,6.007120138824104e-05
135,2,2,98868.94707646481,1.001332430343186e-05
136,1,1,4328.467814815333,0.0002287200130041667
137,2,2,74481.17298155813,1.3291968368655103e-05
138,2,2,60277.11495507246,1.6424252390813548e-05
139,2,2,55412.37451278425,1.7866199125870233e-05
140,1,1,24659.431491076477,4.014763219062925e-05
141,2,2,129913.48157131959,7.620482445358848e-06
142,1,1,7131.293504884616,0.0001388329899406349
143,1,1,4192.637484705737,0.00023615359131572635
144,1,1,4862.733761648247,0.00020359155713169482
145,2,2,51110.407535053346,1.936998467700142e-05
146,1,1,17236.812491246437,5.7437027252378596e-05
147,2,2,114467.00345321161,8.648806366154153e-06
148,1,1,22872.04454551856,4.3284420266392516e-05
149,1,1,16487.879075129877,6.004507440278779e-05
150,1,1,7041.6649143623745,0.0001406003897874777
151,1,1,23359.41656133484,4.238216359607596e-05
152,2,2,55442.40849931268,1.785649350686279e-05
153,1,1,22879.745350902984,4.327085361497497e-05
154,1,1,11603.028403702043,8.532484537341977e-05
155,2,2,58619.09280222228,1.6888786363332935e-05
156,2,2,82275.96690790332,1.2032675756121613e-05
157,2,2,122995.4348145543,8.049097615711227e-06
158,2,2,56797.60704193774,1.7430394234275458e-05
159,2,2,43224.582215093214,2.290392309713771e-05
160,1,1,8815.823813372539,0.00011230420742814056
161,1,1,7263.62863825649,0.00013629729364498115
162,1,1,28690.065590966653,3.450701626668871e-05
163,1,1,5471.835021336963,0.0001809377018110794
164,2,2,109338.47165997465,9.0544956564723e-06
165,2,2,75789.27941352798,1.306257101885687e-05
166,1,1,11412.288318120602,8.67510354564333e-05
167,1,1,5510.123461523186,0.00017968953302411518
168,1,1,33260.98058474022,2.9764925465185696e-05
169,2,2,65331.50226997836,1.5153637345023036e-05
170,1,1,5506.7591360420265,0.00017978313334015086
171,1,1,4443.762106760005,0.0002228137638566696
172,2,2,136126.4239870706,7.272673612855807e-06
173,2,2,114008.97759233833,8.683568053000207e-06
174,1,1,34853.324227174024,2.8404764971168676e-05
175,2,2,46470.4620057688,2.1303904000052068e-05
176,2,2,74495.30786492264,1.3289537293646651e-05
177,2,2,70752.86843284262,1.3992368042111233e-05
178,1,1,24741.670772848058,4.001381456162709e-05
179,1,1,16993.978753258387,5.825624000397637e-05
180,1,1,8360.583737295581,0.00011842130181944718
181,2,2,64076.408791691974,1.5450421610026587e-05
182,1,1,4336.4460017820265,0.00022830395308336612
183,2,2,93315.07291260533,1.0609223534158134e-05
184,1,1,19137.968772576292,5.173142228811628e-05
185,1,1,21598.72009002535,4.5836732587553954e-05
186,2,2,78666.56695596006,1.2584840587993677e-05
187,2,2,96647.93164003665,1.0243420850707151e-05
188,2,2,109614.22390117343,9.031690155188624e-06
189,1,1,4365.543043009229,0.00022680368411637897
190,1,1,18065.855128823347,5.48013823353564e-05
191,1,1,13935.742598724803,7.104184620586996e-05
192,1,1,19558.836024258166,5.061804216943131e-05
193,2,2,139293.67135816845,7.107297942739115e-06
194,1,1,6859.086314468142,0.00014434914000907974
195,1,1,4569.722163745565,0.00021665947374099762
196,1,1,37358.73960285528,2.650024605444313e-05
197,1,1,5684.062975997757,0.0001741805146413904
198,2,2,105159.36406974115,9.414343967128228e-06
199,2,2,54891.24998748964,1.803588655676987e-05
