v_tol_ms,da_m,di_deg,dv_ms,dv_axis,burn_frac,orbits,sigma_drift_m,sigma_range_m,gain
10.0,6014.087963297177,0.0416939,1.0,pro,0.05,1.0,435.1525727599964,244.27078170720094,3.1735114286144777
10.0,6014.087963297177,0.0416939,1.0,rad,0.05,1.0,435.1525727599964,192.5741839350815,5.10607252182597
10.0,6014.087963297177,0.0416939,1.0,nor,0.05,1.0,435.1525727599964,168.31862773306287,6.683727691553328
10.0,6014.087963297177,0.0416939,1.0,perp_los,0.05,1.0,435.1525727599964,253.2854896543317,2.951633904161885
10.0,6014.087963297177,0.0416939,1.0,pro,0.1,1.0,435.1525727599964,267.3914706123535,2.648427028978977
10.0,6014.087963297177,0.0416939,1.0,rad,0.1,1.0,435.1525727599964,120.22439219181773,13.100803445136675
10.0,6014.087963297177,0.0416939,1.0,nor,0.1,1.0,435.1525727599964,102.97982959509395,17.855777822455998
10.0,6014.087963297177,0.0416939,1.0,perp_los,0.1,1.0,435.1525727599964,171.9222357767938,6.406473151512158
10.0,6014.087963297177,0.0416939,1.0,pro,0.2,1.0,435.1525727599964,163.96663989722134,7.043233997938551
10.0,6014.087963297177,0.0416939,1.0,rad,0.2,1.0,435.1525727599964,83.24991024880705,27.3221935262303
10.0,6014.087963297177,0.0416939,1.0,nor,0.2,1.0,435.1525727599964,65.80631099074408,43.72683261194538
10.0,6014.087963297177,0.0416939,1.0,perp_los,0.2,1.0,435.1525727599964,157.48940065481924,7.6344973840846695
10.0,6014.087963297177,0.0416939,1.0,pro,0.35,1.0,435.1525727599964,63.14673010789926,47.48772647995856
10.0,6014.087963297177,0.0416939,1.0,rad,0.35,1.0,435.1525727599964,108.93003044667311,15.958345415476902
10.0,6014.087963297177,0.0416939,1.0,nor,0.35,1.0,435.1525727599964,68.329791711887,40.55672867654799
10.0,6014.087963297177,0.0416939,1.0,perp_los,0.35,1.0,435.1525727599964,171.82204577949804,6.413946600701591
10.0,6014.087963297177,0.0416939,1.0,pro,0.5,1.0,435.1525727599964,53.81042903034904,65.39585191539223
10.0,6014.087963297177,0.0416939,1.0,rad,0.5,1.0,435.1525727599964,198.23781571114935,4.818480475492932
10.0,6014.087963297177,0.0416939,1.0,nor,0.5,1.0,435.1525727599964,87.86438023661273,24.52773306175907
10.0,6014.087963297177,0.0416939,1.0,perp_los,0.5,1.0,435.1525727599964,97.88985987805361,19.76094445415706
10.0,6014.087963297177,0.0416939,1.0,pro,0.75,1.0,435.1525727599964,152.1943762803842,8.17496497790186
10.0,6014.087963297177,0.0416939,1.0,rad,0.75,1.0,435.1525727599964,290.7589435004667,2.239839745408296
10.0,6014.087963297177,0.0416939,1.0,nor,0.75,1.0,435.1525727599964,143.65490013918804,9.175763723949387
10.0,6014.087963297177,0.0416939,1.0,perp_los,0.75,1.0,435.1525727599964,113.09187773345954,14.805404630976193
10.0,6014.087963297177,0.0416939,1.0,pro,0.95,1.0,435.1525727599964,451.33149965318296,0.9295908082039993
10.0,6014.087963297177,0.0416939,1.0,rad,0.95,1.0,435.1525727599964,480.18202202360385,0.8212423157533607
10.0,6014.087963297177,0.0416939,1.0,nor,0.95,1.0,435.1525727599964,422.4392447236321,1.0610958015220928
10.0,6014.087963297177,0.0416939,1.0,perp_los,0.95,1.0,435.1525727599964,374.0580158581322,1.3533345813718012
