kind,alt,e_target,e_sat,phase_deg,relation,rollout_seed,success_n,total,phys_n,phys_total,causes,wall_s
diag,MEO_low,0.5,0.5,30,same_orbit,42,0,200,0,0,gave_up=200,1.9
diag,MEO_low,0.5,0.5,30,same_orbit,1337,0,200,0,0,gave_up=200,1.8
diag,MEO_low,0.5,0.5,30,same_orbit,31415,0,200,0,0,gave_up=200,1.8
diag,MEO_low,0.5,0.5,30,fully_random,42,0,200,0,0,gave_up=200,1.9
diag,MEO_low,0.5,0.5,30,fully_random,1337,0,200,0,0,gave_up=200,1.8
diag,MEO_low,0.5,0.5,30,fully_random,31415,0,200,0,0,gave_up=200,1.9
diag,MEO_low,0.5,0.5,90,same_orbit,42,0,200,0,0,gave_up=200,1.9
diag,MEO_low,0.5,0.5,90,same_orbit,1337,0,200,0,0,gave_up=200,1.9
diag,MEO_low,0.5,0.5,90,same_orbit,31415,0,200,0,0,gave_up=200,1.8
diag,MEO_low,0.3,0.3,180,fully_random,31415,0,200,0,200,safety_cap=200,7.2
diag,MEO_low,0.5,0.5,90,fully_random,42,0,200,0,0,gave_up=200,2.0
diag,MEO_low,0.5,0.5,90,fully_random,1337,0,200,0,0,gave_up=200,1.9
diag,MEO_low,0.5,0.5,90,fully_random,31415,0,200,0,0,gave_up=200,1.9
diag,MEO_low,0.5,0.5,150,same_orbit,42,0,200,0,0,gave_up=200,1.8
diag,MEO_low,0.5,0.5,150,same_orbit,1337,0,200,0,0,gave_up=200,1.9
diag,MEO_low,0.5,0.5,150,same_orbit,31415,0,200,0,0,gave_up=200,1.8
diag,MEO_low,0.5,0.5,150,fully_random,42,0,200,0,0,gave_up=200,2.0
diag,MEO_low,0.5,0.5,150,fully_random,1337,0,200,0,0,gave_up=200,2.0
diag,MEO_low,0.5,0.5,150,fully_random,31415,0,200,0,0,gave_up=200,1.9
diag,MEO_low,0.5,0.5,180,same_orbit,42,0,200,0,0,gave_up=200,2.0
diag,MEO_low,0.5,0.5,180,same_orbit,1337,0,200,0,0,gave_up=200,1.8
diag,MEO_low,0.5,0.5,180,same_orbit,31415,0,200,0,0,gave_up=200,1.9
