block,a_km,e,i_t_deg,sep_km,da_m,di_deg,dv_ms,dv_axis,orbits,n_obs,rho0_km,rho_mean_km,oop_amp_m,sigma_range_m,sigma_inplane_m,sigma_plane_m,sigma_pos_m,sigma_vrange_ms,sigma_vinplane_ms,sigma_vplane_ms,rel_sigma_range,rel_sigma_plane,plane_over_range,plane_over_inplane,fim_cond
wide,12000.0,0.0,51.6,10.0,0.0,1.0,25.0,nor,1.0,219,9.9999997106487,129.02644860754125,209410.34476418694,9.611120585509603,4.200114797723674,8.585075297508736,13.554265789306278,0.0017559226970627923,0.004143458340278691,0.020936481110653753,0.0009611120863608635,0.0008585075545919014,0.8932439481044692,2.0440096785358266,23878.116015618914
wide,12000.0,0.0,51.6,10.0,0.0,1.0,25.0,nor,1.5,328,9.9999997106487,112.2209461085738,209410.34476418694,10.243170550487237,2.287063819984494,4.850273082369162,11.561935513425334,0.0014710033317401898,0.0046604520226581625,0.06466104529453043,0.0010243170846874717,0.00048502732227124486,0.47351286971771145,2.120742342206282,949663.6192305568
wide,12000.0,0.0,51.6,1000.0,0.0,0.0,0.0,none,0.5,110,999.7106732644592,999.7106732645515,4.374664325031838e-09,358361.46369398845,354.49833797799675,134.20376776632742,358361.66416152933,10.945813051959894,171.70488866020037,0.06503326419888279,0.3584651772535283,0.00013424260774179585,0.0003744927436754933,0.3785737573039264,355626133.2853624
wide,12000.0,0.0,51.6,1000.0,0.0,0.0,0.0,none,1.0,219,999.7106732644592,999.7106732645672,1.082980519774222e-08,27224.78512507486,217.83996142728165,95.32683893652082,27225.82352402795,0.7728984718295193,12.991040862864146,0.04598546191871343,0.027232664262926132,9.535442752175505e-05,0.0035014725919258727,0.43760032967294843,4477664.83171878
wide,12000.0,0.0,51.6,1000.0,0.0,0.0,0.0,none,1.5,328,999.7106732644592,999.7106732639463,1.4444794650236706e-08,10230.25458661778,130.22960969534353,77.95225725578597,10231.38041579272,0.2890339780942186,4.901659343116991,0.03754697224492092,0.010233215329403123,7.797481745517467e-05,0.007619776868285907,0.5985755270106843,1094926.1711817728
wide,12000.0,0.0,51.6,1000.0,0.0,0.0,25.0,pro,0.5,110,999.7106732644592,1010.9719990090999,7.128065254224793e-09,23073.332975466245,398.6126121008185,137.82730757055594,23077.18750146941,0.8843167146607451,10.548013926087082,0.0645044195027381,0.02308001063960085,0.0001378671962363812,0.005973445956728792,0.34576755322457325,1018456.9163319638
wide,12000.0,0.0,51.6,1000.0,0.0,0.0,25.0,pro,1.0,219,999.7106732644592,1163.6904566739076,4.374664325031838e-09,4848.640412785377,271.284212829379,104.7856594405915,4857.3541162911315,0.10623145315430747,2.1801734409995706,0.05126132413618195,0.004850043660084779,0.00010481598550751089,0.021611348856533527,0.38625785978373617,80128.26817177884
wide,12000.0,0.0,51.6,1000.0,0.0,0.0,25.0,pro,1.5,328,999.7106732644592,1319.6022490498274,6.644134716370981e-09,2291.5942733211864,194.46598523430006,92.71788070263456,2301.6989243455782,0.054508878370068126,1.0627221549376893,0.04400340278130382,0.0022922574846962526,9.274471422804082e-05,0.04045998970326427,0.47678199655803305,31358.11146387445
wide,12000.0,0.0,51.6,1000.0,0.0,0.0,25.0,nor,0.5,110,999.7106732644592,1000.2723300500754,52047.97486777092,9375.350523573012,250.1268293583271,273.2887625828243,9382.667404228909,0.29782000712452106,4.487091800510051,0.13563492135341862,0.009378063848171898,0.0002733678552119746,0.029149711458326576,1.09260075492068,244381.50885466448
wide,12000.0,0.0,51.6,1000.0,0.0,0.0,25.0,nor,1.0,219,999.7106732644592,1000.4528742750676,52047.97486777206,4829.288986675302,114.92109033429148,140.4484327561241,4832.697459606865,0.14457479234418139,2.3012213611692394,0.051398254699633834,0.004830686633469384,0.00014048908000302053,0.02908263165522738,1.222129309316303,143408.98962493235
wide,12000.0,0.0,51.6,1000.0,0.0,0.0,25.0,nor,1.5,328,999.7106732644592,1000.8422711215799,52048.45496841722,4140.064802714193,96.30030055361364,78.77870083003424,4141.933896414102,0.12253163278264537,1.983813375403267,0.06051763583165195,0.004141262980813448,7.880150021084596e-05,0.019028373850184074,0.8180524918110247,186523.49361624743
wide,12000.0,0.0,51.6,1000.0,0.0,0.1,0.0,none,0.5,110,999.7106732644587,999.819002696083,20942.540384003867,265577.3213142998,311.5494802904233,237.85835777721033,265577.6105701606,8.116261721016922,127.24731651644764,2.3928041720348308,0.26565418217161046,0.00023792719647626332,0.0008956275204527527,0.7634689602289857,195388463.88926297
