rung,policy,seed,decisions,sim_steps,cause,shaping_sum_nonterminal,telescope_resid,clamp_recon_err,r_env_terminal,phi_T_prev,phi_0,undisc_cap-10_clampshipped,disc_cap-10_clampshipped,undisc_cap-10_clampnone,disc_cap-10_clampnone,undisc_cap-10_clampall,disc_cap-10_clampall,undisc_cap0_clampshipped,disc_cap0_clampshipped,undisc_cap0_clampnone,disc_cap0_clampnone,undisc_cap0_clampall,disc_cap0_clampall
L1_e0_gap180,warp5_forever,8,600,3000,safety_cap,-7.771561172376096e-16,1.381240677389428e-10,0.0,-10.0,-0.9103148436541343,-0.9103148435160094,-9.999999999999998,-0.4966213277390826,-9.999999999999998,-0.4966213277390826,-9.089685156345864,-0.4514131511074716,-7.771561172376096e-16,-2.1563386579077777e-15,-7.771561172376096e-16,-2.1563386579077777e-15,0.9103148436541335,0.045208176631608796
L1_e0_gap180,warp5_forever,9,600,3000,safety_cap,1.1102230246251565e-16,1.4212114485268046e-08,0.0,-10.0,-0.6008957799611984,-0.600895794173313,-10.0,-0.4966213277390817,-10.0,-0.4966213277390817,-9.3991042200388,-0.4667795617313676,1.1102230246251565e-16,-1.2492778987559315e-15,1.1102230246251565e-16,-1.2492778987559315e-15,0.6008957799611985,0.029841766007712815
L1_e0_gap180,warp5_forever,10,600,3000,safety_cap,-1.3877787807814457e-16,1.238060889918735e-09,0.0,-10.0,-0.11210644336072403,-0.112106442122663,-10.0,-0.4966213277390807,-10.0,-0.4966213277390807,-9.887893556639275,-0.4910538826640898,-1.3877787807814457e-16,-2.9194169442617765e-16,-1.3877787807814457e-16,-2.9194169442617765e-16,0.1121064433607239,0.0055674450749905865
L1_e0_gap180,warp5_forever,11,600,3000,safety_cap,0.0,3.419005800697761e-09,0.0,-10.0,-0.3766829152957305,-0.3766829118767247,-10.0,-0.49662132773908035,-10.0,-0.49662132773908035,-9.623317084704269,-0.477914450786001,0.0,6.361461389573592e-17,0.0,6.361461389573592e-17,0.3766829152957305,0.018706876953079387
L1_e0_gap180,warp30_forever,0,100,3000,safety_cap,0.0,5.326266927507817e-10,0.0,-10.0,-0.2337223018325733,-0.23372230129994662,-10.0,-6.088145090359074,-10.0,-6.088145090359074,-9.766277698167427,-5.945851561918134,0.0,7.57120864967035e-18,0.0,7.57120864967035e-18,0.2337223018325733,0.1422935284409403
L1_e0_gap180,warp30_forever,1,100,3000,safety_cap,3.3306690738754696e-16,3.115065871917011e-09,0.0,-10.0,-0.5112106445559318,-0.511210647670998,-10.0,-6.088145090359074,-10.0,-6.088145090359074,-9.488789355444068,-5.776912632779824,3.3306690738754696e-16,3.609835689941447e-16,3.3306690738754696e-16,3.609835689941447e-16,0.5112106445559321,0.3112324575792498
L1_e0_gap180,warp30_forever,2,100,3000,safety_cap,1.4224732503009818e-16,4.2463387320279544e-10,0.0,-10.0,-0.02242129235985485,-0.022421292784488865,-10.0,-6.088145090359074,-10.0,-6.088145090359074,-9.977578707640145,-6.074494682259059,1.4224732503009818e-16,1.5963190097237987e-16,1.4224732503009818e-16,1.5963190097237987e-16,0.022421292359854992,0.013650408100015731
L1_e0_gap180,warp30_forever,3,100,3000,safety_cap,-5.551115123125783e-16,1.2321874021115065e-08,0.0,-10.0,-0.46636806815064796,-0.4663680558287734,-10.0,-6.088145090359075,-10.0,-6.088145090359075,-9.533631931849351,-5.804213443917913,-5.551115123125783e-16,-8.408978884245985e-16,-5.551115123125783e-16,-8.408978884245985e-16,0.4663680681506474,0.2839316464411605
L1_e0_gap180,warp30_forever,4,100,3000,safety_cap,-2.3314683517128287e-15,1.4193090924763396e-08,0.0,-10.0,-0.9551574390477154,-0.9551574248546222,-10.000000000000002,-6.088145090359076,-10.000000000000002,-6.088145090359076,-9.044842560952286,-5.5066313830532465,-2.3314683517128287e-15,-2.027912394837904e-15,-2.3314683517128287e-15,-2.027912394837904e-15,0.9551574390477131,0.5815137073058275
L1_e0_gap180,warp30_forever,5,100,3000,safety_cap,0.0,4.9050145056739325e-09,0.0,-10.0,-0.556053218272987,-0.5560532231780015,-10.0,-6.088145090359074,-10.0,-6.088145090359074,-9.443946781727012,-5.749611823278369,0.0,8.722483348090519e-17,0.0,8.722483348090519e-17,0.556053218272987,0.33853326708070497
L1_e0_gap180,warp30_forever,6,100,3000,safety_cap,0.0,6.320879583632255e-09,0.0,-10.0,-0.0672638765262566,-0.06726387020537701,-10.0,-6.088145090359074,-10.0,-6.088145090359074,-9.932736123473743,-6.047193866395889,0.0,0.0,0.0,0.0,0.0672638765262566,0.040951223963184805
L1_e0_gap180,warp30_forever,7,100,3000,safety_cap,-2.7755575615628914e-16,4.451627844126449e-09,0.0,-10.0,-0.4215254888791029,-0.42152549333073047,-10.0,-6.088145090359074,-10.0,-6.088145090359074,-9.578474511120897,-5.831514256801022,-2.7755575615628914e-16,-3.4068765384595955e-16,-2.7755575615628914e-16,-3.4068765384595955e-16,0.42152548887910263,0.25663083355805155
L1_e0_gap180,warp30_forever,8,100,3000,safety_cap,-1.1102230246251565e-15,1.1961661661175071e-09,0.0,-10.0,-0.9103148423198444,-0.9103148435160094,-10.000000000000002,-6.088145090359076,-10.000000000000002,-6.088145090359076,-9.089685157680158,-5.53393220656402,-1.1102230246251565e-15,-1.5563549570834771e-15,-1.1102230246251565e-15,-1.5563549570834771e-15,0.9103148423198433,0.554212883795054
L1_e0_gap180,warp30_forever,9,100,3000,safety_cap,0.0,8.075046631361715e-09,0.0,-10.0,-0.6008958022483596,-0.600895794173313,-10.0,-6.088145090359075,-10.0,-6.088145090359075,-9.39910419775164,-5.722311007531502,0.0,-5.205989679431126e-16,0.0,-5.205989679431126e-16,0.6008958022483596,0.36583408282757224
