i_t_deg,da_m,di_deg,dv_ms,dv_axis,j2,orbits,n_obs,rho0_km,rho_max_km,oop_amp_m,raan_rate_deg_day,draan_deg_per_orbit,sigma_range_m,sigma_inplane_m,sigma_plane_m,sigma_vrange_ms,sigma_vplane_ms,range_frac_of_box,j2_gain,fim_cond
51.6,601.4087963297178,0.0,0.0,none,0,1.0,95,5.0362565116574025,10.656831097409231,6.16377167230924e-09,-4.769666919805919,9.584016664678513e-05,2353.053673269898,1.9241261446718159,1.0505472425280395,0.4621206672259224,0.0012067504128931135,0.47061073465397957,1.0,117112606.88853286
51.6,601.4087963297178,0.0,0.0,none,0,3.0,284,5.0362565116574025,21.98732157939363,1.179337633224777e-08,-4.769666919805919,9.584016664678513e-05,343.2868507534714,1.3260637740385703,0.8737924111132032,0.06730523402055154,0.0009944629496169894,0.06865737015069429,1.0,3126823.0326022166
51.6,601.4087963297178,0.0,0.0,none,1,1.0,95,5.0362565116574025,10.586786891391396,26.168220140429664,-4.769666919805919,9.584016664678513e-05,2365.0666365700604,1.9201699200634783,1.0480805375017401,0.464471403122301,0.001201691331641243,0.4730133273140121,0.9898671317005464,119996055.5422969
51.6,601.4087963297178,0.0,0.0,none,1,3.0,284,5.0362565116574025,21.77673687066976,231.32997715442593,-4.769666919805919,9.584016664678513e-05,346.7972142081085,1.3242901608207653,0.8714321770081022,0.06799037293128804,0.000987606094234688,0.06935944284162171,0.9798579864726347,3250569.3505587527
51.6,601.4087963297178,0.0,1.0,nor,0,1.0,95,5.0362565116574025,10.672228287793532,901.9441326376184,-4.769666919805919,9.584016664678513e-05,14.6456813179441,1.4006041264651188,1.1124731375910135,0.00308912138604882,0.0014168164870599104,0.0029291362635888198,1.0,5125.343103482759
51.6,601.4087963297178,0.0,1.0,nor,0,3.0,284,5.0362565116574025,21.997109850180312,902.2109484966379,-4.769666919805919,9.584016664678513e-05,11.568743164915054,1.2447429828586671,1.0332283897025312,0.0023631022130627846,0.001354545172844825,0.0023137486329830106,1.0,4756.5519698824555
51.6,601.4087963297178,0.0,1.0,nor,1,1.0,95,5.0362565116574025,10.598499664487367,888.5282382237234,-4.769666919805919,9.584016664678513e-05,14.59244182329592,1.3971677717771012,1.110758809202198,0.003077490728836359,0.00141263130042205,0.002918488364659184,1.0073101699584506,5178.216651183992
51.6,601.4087963297178,0.0,1.0,nor,1,3.0,284,5.0362565116574025,21.772920409440424,888.5282382237234,-4.769666919805919,9.584016664678513e-05,11.542591954362399,1.2411571412152977,1.0320208946237126,0.0023544487786203772,0.0013494491411234074,0.0023085183908724796,1.00453638751217,4863.392244198677
51.6,601.4087963297178,0.04169392,0.0,none,0,1.0,95,5.036256511657525,10.675511351046557,5000.256641943259,-4.769666919805919,0.00038312238052135554,1197.2792546319245,1.692481356143854,1.2179611400110302,0.23382616148830385,1.3161366119092577,0.23945585092638488,1.0,180906851.182599
51.6,601.4087963297178,0.04169392,0.0,none,0,3.0,284,5.036256511657525,21.9877877734822,5000.297003200732,-4.769666919805919,0.00038312238052135554,285.47386570725814,1.0509824464370037,0.9793527489563141,0.05581226696025357,0.31373195298193746,0.05709477314145163,1.0,30265373.722858388
51.6,601.4087963297178,0.04169392,0.0,none,1,1.0,95,5.036256511657525,10.674682362652133,5031.6345254659,-4.769666919805919,0.00038312238052135554,1194.323513688075,1.6919220196553888,1.2193679794274581,0.23324508832831317,1.312892172333128,0.238864702737615,1.004955773506591,180119422.2219987
51.6,601.4087963297178,0.04169392,0.0,none,1,3.0,284,5.036256511657525,21.988936998273406,5238.682623432765,-4.769666919805919,0.00038312238052135554,284.86003516676976,1.0504348379409185,0.9818985170681492,0.05569154982607594,0.31305947172601034,0.05697200703335395,1.004314342630648,30242309.55834189
51.6,601.4087963297178,0.04169392,1.0,nor,0,1.0,95,5.036256511657525,10.66512082423144,4998.934721975366,-4.769666919805919,0.00038312238052135554,20.164203058257282,1.461706094209258,1.3027676348120418,0.0038104653072971013,0.020903801417869464,0.004032840611651456,1.0,41539.005791696305
51.6,601.4087963297178,0.04169392,1.0,nor,0,3.0,284,5.036256511657525,21.99408968648971,4998.934721975366,-4.769666919805919,0.00038312238052135554,14.391108251266626,1.0730963540527045,1.244725990123531,0.0027977593188608005,0.014719024649115562,0.0028782216502533254,1.0,58237.61206161481
51.6,601.4087963297178,0.04169392,1.0,nor,1,1.0,95,5.036256511657525,10.662743128498716,5006.378892703933,-4.769666919805919,0.00038312238052135554,20.17344822343014,1.4613969430700462,1.3046249082534922,0.00381223564607134,0.020912399214591957,0.004034689644686028,0.9990836423584486,41641.931210464194
