episode,terminal_cause,success,steps,episode_orbits,a_sat_km,a_tgt_km,hohmann_dv,policy_dv,lambert_dv_immediate,lambert_dv_free,lambert_dv_timematched,ratio_immediate,ratio_free,ratio_timematched,best_tof_immediate_s,best_revs_immediate,best_wait_free_s,best_tof_free_s,best_revs_free,best_wait_tm_s,best_tof_tm_s,best_revs_tm,n_burns,teleport_net_deg,teleport_abs_deg,teleport_coast_deg
ep_0000041.npz,1,1,600,6.135370091922253,7093.1075,7031.271,32.89106126923707,255.0,783.9884989444138,650.5665739958104,190.65231427639014,0.32525987351005764,0.3919660342119609,1.3375132684218274,17602.85009411109,2,1899.9803870558183,11735.23339607406,1,3327.731092436975,32672.26433109316,5,12,3.6563491992594275e-06,0.0004611420375070941,0.0004462924483213365
ep_0000042.npz,1,1,830,8.527206133125581,6888.519,7009.296,65.82041772846696,330.0,1001.9387912430509,1001.9387912430509,294.2122113702389,0.3293614369302809,0.3293614369302809,1.1216393720134392,14371.309285845435,2,0.0,14371.309285845435,2,531.5893349527311,43939.800830399254,7,15,4.327941673323183e-05,0.0006203312668649983,0.0006109154294059165
ep_0000043.npz,1,1,509,5.104307615415203,7035.3095,7123.293,46.62950715572697,95.0,257.7479171027743,230.47526136328395,158.8392221329305,0.3685771783060413,0.4121917443029053,0.5980890533478924,17239.92957713264,2,4027.3586365382866,11732.307242314853,1,4027.0214023109243,23524.835869400566,3,5,1.2323047459778043e-05,0.00035765228623176027,0.0003530780972951895
ep_0000044.npz,1,1,1170,12.130886168485251,6768.566,6966.6245,109.86496142179021,215.0,1377.7785597636198,1377.7785597636198,175.69800082611727,0.15604829852838378,0.15604829852838378,1.2236906452497356,12677.470409572687,1,0.0,12677.470409572687,1,1990.9663865546217,66162.86759456816,12,10,-4.977759062437916e-06,0.0008951980572640698,0.000883750048308366
ep_0000045.npz,1,1,1155,12.592750415636852,6951.512,6737.019,119.59189187140692,220.0,1461.1430229816401,1461.1430229816401,140.67364072097993,0.1505670536968128,0.1505670536968128,1.5639035065308395,13656.204252134177,1,0.0,13656.204252134177,1,2332.9661649816176,65047.424811526056,11,10,4.872082817702483e-07,0.0008871095934117497,0.000879104901044185
ep_0000046.npz,1,1,186,1.9577098662443437,7104.0475,6897.154,111.51116132796324,310.0,327.34638872200185,249.88168981554648,249.88168981554648,0.9470090725921121,1.2405870963528007,1.2405870963528007,3857.6891719957403,0,628.2860346551508,2717.9565822376226,0,628.2860346551508,2717.9565822376226,0,13,1.232414592158727e-05,0.00013330651734875544,0.00012753398723718397
ep_0000047.npz,1,1,996,10.470791445455392,7058.293,6902.611,84.26985175571372,185.0,1101.1605499545296,1101.1605499545296,216.40094729799483,0.16800456573534098,0.16800456573534098,0.8548945940853292,13109.537386977241,1,0.0,13109.537386977241,1,4519.663865546218,52632.78269375739,8,8,-4.4543141283263616e-05,0.000711880470827545,0.0007081990879912766
ep_0000048.npz,1,1,757,7.624632552183503,7164.808,7102.504,32.642971318747186,195.0,475.69925406439677,475.69925406439677,123.84507919856468,0.4099228626782801,0.4099228626782801,1.5745478242809343,12993.983469308596,1,0.0,12993.983469308596,1,381.6806722689076,42133.888709203806,6,9,-5.8589077937217414e-05,0.0005667869051545952,0.0005616043343497777
ep_0000049.npz,1,1,865,8.614513605183868,6894.15,7156.221,140.5166649755829,185.0,1422.2724835661659,1422.2724835661659,336.930346729609,0.130073528200543,0.130073528200543,0.5490749105733266,15858.663202474416,3,0.0,15858.663202474416,3,4361.344537815126,43848.500442363285,7,8,-6.837062269801637e-05,0.0006667476792093314,0.0006556283237370835
ep_0000050.npz,1,1,996,10.430671608503335,7153.641,6920.2995,124.79496950913199,270.0,1062.4911011470158,1062.4911011470158,204.27345196704147,0.2541197754113146,0.2541197754113146,1.3217576606262236,15130.27275973724,2,0.0,15130.27275973724,2,15881.596638655461,40169.27165817805,6,12,-4.749603109729485e-05,0.0007293624225593113,0.0007197503408307177
