alt_km,i_deg,dRAAN_deg,theta_exact_deg,theta_smallangle_deg,lin_err_pct,dv_ms,dv_per_deg_RAAN,dv_per_deg_incl,cost_ratio_RAAN_to_incl,node_u_deg
2000.0,98.0,0.1,0.09902680662818968,0.09902680687415703,2.483846266028806e-07,11.926425641008192,119.26425641008191,120.43482120854657,0.9902805120087513,90.0
2000.0,98.0,0.25,0.24756701338012183,0.24756701718539262,1.5370669669167439e-06,29.81604423516295,119.2641769406518,120.43482120854657,0.9902798521544889,90.0
2000.0,98.0,0.5,0.49513400393869295,0.49513403437078524,6.146233548437432e-06,59.63194655676566,119.26389311353132,120.43482120854657,0.9902774954679623,90.0
2000.0,98.0,1.0,0.9902678252855945,0.9902680687415705,2.4584861763814568e-05,119.26275780738179,119.26275780738179,120.43482120854657,0.9902680687412221,90.0
2000.0,98.0,2.0,1.980534189663731,1.980536137483141,9.834818404671214e-05,238.51643329406463,119.25821664703231,120.43482120854657,0.9902303623677339,90.0
2000.0,98.0,5.0,4.951309889974554,4.951340343707852,0.0006150641744356794,596.1321571463867,119.22643142927734,120.43482120854657,0.9899664418716846,90.0
8000.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,91.9172978223245,0.0,90.0
8000.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,91.9172978223245,0.0,90.0
8000.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,91.9172978223245,0.0,90.0
8000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,91.9172978223245,0.0,90.0
8000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,91.9172978223245,0.0,90.0
8000.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,91.9172978223245,0.0,90.0
8000.0,5.0,0.1,0.008715573176999333,0.008715574274765816,1.259545943177409e-05,0.8011221027475788,8.011221027475788,91.9172978223245,0.08715683791054675,90.0
8000.0,5.0,0.25,0.021788918529514735,0.02178893568691454,7.87436961688299e-05,2.0028039219120903,8.011215687648361,91.9172978223245,0.08715677981672161,90.0
