alt_km,a_km,v_circ_ms,di_deg,dv_circ_ms,frac_budget_circ,dv_apo_e10_ms,dv_per_e10_ms,dv_apo_e30_ms,dv_per_e30_ms,dv_apo_e50_ms,dv_per_e50_ms
800.0,7171.0,7455.538661189395,3.0,390.3265002826092,0.8163608221374603,353.06360377362694,431.5221823899886,286.42134613189495,531.9253571020906,225.35511001000893,676.0653300300269
800.0,7171.0,7455.538661189395,5.0,650.4120577593175,1.360325065851469,588.3198421938056,719.0575849035403,477.27196843913515,886.3622271012509,375.51557663152033,1126.5467298945612
800.0,7171.0,7455.538661189395,7.5,975.2311170761956,2.0396782589291913,882.1297361511542,1078.1585664069664,715.6239946312476,1329.0159900294595,563.0499479660408,1689.1498438981228
800.0,7171.0,7455.538661189395,10.0,1299.5860191996853,2.718060675624267,1175.5197841300812,1436.746402825655,953.635422559981,1771.0372133256787,750.3163380200124,2250.9490140600374
800.0,7171.0,7455.538661189395,15.0,1946.2861447888658,4.070622302416544,1760.4820573450882,2151.700292310664,1428.1835774528895,2652.340929555366,1123.6888296138904,3371.066488841672
800.0,7171.0,7455.538661189395,20.0,2589.281404081768,5.415435268297125,2342.09315290468,2862.55829799461,1900.0131037334686,3528.595764076442,1494.9223156543005,4484.766946962903
800.0,7171.0,7455.538661189395,28.5,3670.4107855134794,7.676597833543222,3320.0114732786833,4057.7918006739474,2693.3451796960558,5001.9267622926745,2119.112655052713,6357.337965158139
800.0,7171.0,7455.538661189395,38.94,4970.059607063172,10.39478985914769,4495.588064271745,5494.607634109911,3647.0266865818926,6773.049560794943,2869.465252026407,8608.395756079222
800.0,7171.0,7455.538661189395,45.0,5706.222249989168,11.934460724361367,5161.472229161355,6308.46605786388,4187.22238174021,7776.270137517533,3294.4889520870775,9883.466856261233
800.0,7171.0,7455.538661189395,60.0,7455.538661189394,15.593124388222254,6743.78845886014,8242.408116384617,5470.869689683211,10160.186566554534,4304.457252991358,12913.371758974075
800.0,7171.0,7455.538661189395,90.0,10543.723889450988,22.052007989594582,9537.157100295164,11656.525344805203,7736.978113125883,14368.673638662354,6087.421825835615,18262.265477506848
2000.0,8371.0,6900.49454511403,0.05,6.021817300329235,0.01259452206934202,5.4469386930717185,6.657369513754324,4.418805835811399,8.206353695078311,3.4766978393558294,10.430093518067487
2000.0,8371.0,6900.49454511403,0.1,12.043633454189457,0.02518904174086482,10.893876349123198,13.314737760039465,8.837610830344541,16.41270582778272,6.953395016797466,20.860185050392396
2000.0,8371.0,6900.49454511403,0.2,24.08725773662813,0.0503780642991786,21.787744402085657,26.62946538032692,17.675214930463987,32.825399156575976,13.906784738282147,41.72035421484643
2000.0,8371.0,6900.49454511403,0.25,30.109063572270514,0.06297256239033525,27.23467272495794,33.28682221939304,22.09401235349522,41.03173722791969,17.38347595849794,52.150427875493804
2000.0,8371.0,6900.49454511403,0.5,60.217983836078226,0.12594482505361013,54.46921582253395,66.57348600531928,44.18791954732847,82.0632791593243,34.7668691778163,104.30060753344888
2000.0,8371.0,6900.49454511403,0.75,90.32661748364242,0.18891648826419086,81.70349966596308,99.859832925066,66.28161642233829,123.09443049862826,52.150096919169314,156.4502907575079
2000.0,8371.0,6900.49454511403,1.0,120.43482120854657,0.25188725229929676,108.9373946297143,133.1457045474286,88.37499782036427,164.12499595210505,69.53307644455882,208.5992293336764
2000.0,8371.0,6900.49454511403,1.5,180.64936567562216,0.3778248839747873,163.40349942593082,199.7153881872488,132.5603935608314,246.183588041544,104.2979599017556,312.8938797052668
2000.0,8371.0,6900.49454511403,2.0,240.86047083917572,0.5037553224091098,217.86649325505928,266.2812695339614,176.7432655424868,328.23749315033257,139.0608576761381,417.18257302841425
2000.0,8371.0,6900.49454511403,3.0,361.2677780124213,0.7555850296007534,326.7790005034385,399.3965561708693,265.0980735806489,492.3249937926336,208.5780488850094,625.7341466550281
2000.0,8371.0,6900.49454511403,5.0,601.9906891514338,1.259052648382677,544.5210663280301,665.5257477342591,441.74039789965815,820.3750246707937,347.55948643122866,1042.6784592936858
2000.0,8371.0,6900.49454511403,7.5,902.6278729719803,1.8878298858265448,816.4576308994458,997.8926599882118,662.3477787073595,1230.0744461708102,521.1324454384322,1563.3973363152963
2000.0,8371.0,6900.49454511403,10.0,1202.8354548111538,2.515708618489283,1088.0056058577504,1329.7846293816951,882.6399178450313,1639.188418855058,694.4573736260456,2083.3721208781362
2000.0,8371.0,6900.49454511403,15.0,1801.3905548179425,3.7675757942570636,1629.4190648785243,1991.5121904070857,1321.859282540813,2454.8815247186526,1040.0333217397886,3120.099965219365
2000.0,8371.0,6900.49454511403,20.0,2396.5166055192894,5.012271175365467,2167.7308320991765,2649.448794787883,1758.562412962708,3265.9016240736005,1383.62950731397,4150.888521941909
2000.0,8371.0,6900.49454511403,28.5,3397.158911616844,7.1050964769524,3072.84585355778,3755.700487681732,2492.833122487871,4629.547227477475,1961.3506121019211,5884.051836305763
2000.0,8371.0,6900.49454511403,38.94,4600.0524933177285,9.620926666781202,4160.904037165567,5085.549378757916,3375.5156938088803,6268.814859930777,2655.8415453034,7967.524635910198
2000.0,8371.0,6900.49454511403,45.0,5281.409875081632,11.04597331860596,4777.2149781064245,5838.81830657452,3875.495321993033,7197.348455129918,3049.223413079128,9147.670239237383
2000.0,8371.0,6900.49454511403,60.0,6900.494545114029,14.432259649103148,6241.732165646563,7628.783758012467,5063.578658267744,9403.788936782952,3984.0023831631293,11952.007149489385
2000.0,8371.0,6900.49454511403,90.0,9758.772972781822,20.41029733145164,8827.14228135776,10788.72945499282,7160.981612665203,13298.96585209252,5634.2302027960295,16902.690608388086
8000.0,14371.0,5266.540074205392,0.05,4.595923078322376,0.009612290069936991,4.157168840762863,5.080984138710165,3.3724855316219675,6.263187415869369,2.6534574264442377,7.960372279332712
8000.0,14371.0,5266.540074205392,0.1,9.191845281645874,0.019224578309829637,8.31433689005946,10.161967310072672,6.744970421170295,12.526373639316262,5.306914347707637,15.92074304312291
8000.0,14371.0,5266.540074205392,0.2,18.38368356330171,0.0384491419793066,16.628667448389695,20.323926881365182,13.4899357057522,25.052737739254088,10.613824653969141,31.84147396190742
8000.0,14371.0,5266.540074205392,0.25,22.979597891637788,0.04806141374880536,20.785828374492155,25.404901346601523,16.862414816639596,31.315913230902108,13.267277028606435,39.8018310858193
8000.0,14371.0,5266.540074205392,0.5,45.959086408540564,0.09612259874232885,41.57155781581406,50.80968177488385,33.72474937416583,62.631677409165114,26.534490909680166,79.60347272904049
8000.0,14371.0,5266.540074205392,0.75,68.93835617649388,0.14418332622637736,62.35708939126635,76.21422036710331,50.58692341384734,93.94714348285935,39.80157849598905,119.40473548796714
8000.0,14371.0,5266.540074205392,1.0,91.9172978223245,0.1922433674489354,83.14232416909141,101.61839620666728,67.44885667771675,125.26216240147397,53.068476640902055,159.20542992270614
8000.0,14371.0,5266.540074205392,1.5,137.87375926325385,0.28836047611893856,124.71150761236369,152.42517597066671,101.17167985226197,187.89026258277224,79.60145202482528,238.80435607447578
8000.0,14371.0,5266.540074205392,2.0,183.82759578654753,0.38447209482113903,166.27831672829876,203.2290537790318,134.8925768638586,250.51478560430888,106.13291191184494,318.3987357355348
8000.0,14371.0,5266.540074205392,3.0,275.7238945676339,0.5766715431547778,249.40164654991457,304.82423467211777,202.32602445801447,375.74833113631263,159.18926475063546,477.5677942519064
8000.0,14371.0,5266.540074205392,5.0,459.4465031436608,0.9609240591222328,415.58499877319065,507.9372207227885,337.1415617712861,626.1200432895313,265.2615622682248,795.7846868046744
8000.0,14371.0,5266.540074205392,7.5,688.896402137965,1.4408143767069368,623.1302414502047,761.6036284391391,505.5117567034594,938.8075481635675,397.7345232181188,1193.2035696543562
8000.0,14371.0,5266.540074205392,10.0,918.0184237553553,1.9200189446825728,830.3789078809092,1014.9075540766667,673.6413554178667,1251.048231490324,530.0181840761904,1590.054552228571
8000.0,14371.0,5266.540074205392,15.0,1374.8428441206752,2.8754589650549667,1243.5921435418245,1519.9459532177855,1008.8588344571377,1873.5949782775417,793.7658861465027,2381.297658439508
8000.0,14371.0,5266.540074205392,20.0,1829.0501729912526,3.825425385856975,1654.4381308763514,2022.0910488488737,1342.155893365232,2492.575230535431,1056.0026097378313,3168.007829213494
8000.0,14371.0,5266.540074205392,28.5,2592.752364269629,5.422694718809753,2345.2327545243347,2866.395588863076,1902.560092187129,3533.3258854903825,1496.9262754531092,4490.7788263593275
8000.0,14371.0,5266.540074205392,38.94,3510.81515116333,7.342806448194533,3175.6517903737204,3881.352188234547,2576.2340012486616,4784.434573747514,2026.9700725991654,6080.9102177974955
8000.0,14371.0,5266.540074205392,45.0,4030.8352645704276,8.430419118617024,3646.027681176286,4456.256054771016,2957.824441021213,5493.102533325109,2327.203825058773,6981.611475176319
8000.0,14371.0,5266.540074205392,60.0,5266.540074205391,11.014873398770746,4763.764737139028,5822.379123169922,3864.583871244486,7177.0843323111885,3040.6383295404344,9121.914988621302
8000.0,14371.0,5266.540074205392,90.0,7448.012399722671,15.57738334836422,6736.980699216716,8234.087521264873,5465.346923642272,10149.930001049932,4300.111963907555,12900.335891722663
