geom,rho0_km,rho_over_r,period_min,arc_min,burn_dv_ms,burn_dir,burn_t_min,k,hyp_valid,hyp_a_km,hyp_perigee_alt_km,arm,t_1sig_min,t_3sig_min,t_D3_min,D_final,dbeta_10min,dbeta_1h,dbeta_6h,dbeta_24h,dbeta_50h,dbeta_max,pow_p
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,92.41425159967986,360.0,1.0,radial,36.0,2.0,1,6769.058213599414,391.24572936537584,linear_classical,37.0,38.0,38.0,128.9432951456942,0.0,0.013891168937745224,0.0005940421963126497,nan,nan,0.015425395051103852,-0.3194582342095766
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,92.41425159967986,360.0,1.0,radial,36.0,2.0,1,6769.058213599414,391.24572936537584,nonlinear_minus_linear,63.0,160.0,27.0,68.26992496584914,0.0002931084380128901,0.0008096152285825831,0.0062035346086508625,nan,nan,0.0062035346086508625,0.7363315265067905
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,92.41425159967986,360.0,10.0,prograde,36.0,0.5,1,6771.992721756841,394.22615639909543,nonlinear,37.0,37.0,37.0,1447.1836532361938,0.0001458236064499907,0.1991574629015318,0.0009313725936692663,nan,nan,0.3987740529041086,3.010337596473985
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,92.41425159967986,360.0,10.0,prograde,36.0,0.5,1,6771.992721756841,394.22615639909543,linear_classical,37.0,37.0,37.0,1451.9353179248046,0.0,0.20108024762256438,0.0021533244793667805,nan,nan,0.39903338684075385,-2.9381861379523886
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,92.41425159967986,360.0,10.0,prograde,36.0,0.5,1,6771.992721756841,394.22615639909543,nonlinear_minus_linear,52.0,334.0,46.0,36.529069729187455,0.0001458236064499907,0.0019227847210325777,0.003084697073036047,nan,nan,0.0031012125879970043,0.920464408309764
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,92.41425159967986,360.0,10.0,prograde,36.0,2.0,1,6769.058213599414,391.24572936537584,nonlinear,37.0,37.0,27.0,979.9315127677648,0.0002931084380128901,0.18942197992175824,0.0025456695814867203,nan,nan,0.22925331767076074,2.7753164396769954
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,92.41425159967986,360.0,10.0,prograde,36.0,2.0,1,6769.058213599414,391.24572936537584,linear_classical,37.0,37.0,37.0,990.0839256665544,0.0,0.1921311750933441,0.0035827472866776233,nan,nan,0.2300451847839251,-1.2733468741919043
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,92.41425159967986,360.0,10.0,prograde,36.0,2.0,1,6769.058213599414,391.24572936537584,nonlinear_minus_linear,54.0,63.0,27.0,71.29182179918777,0.0002931084380128901,0.002709195171585854,0.006128416868164344,nan,nan,0.0061291770333045115,0.9479734238702467
A3_leo_100km,101.61433918643861,0.015038272507132407,92.41425159967986,360.0,0.0,none,nan,0.5,1,6780.269855754425,375.9109360686168,nonlinear,8.0,17.0,11.0,327.33671457465937,0.0014731740645648195,0.0037554998004498685,0.029692192950316887,nan,nan,0.029692192950316887,0.7142984701706564
A3_leo_100km,101.61433918643861,0.015038272507132407,92.41425159967986,360.0,0.0,none,nan,0.5,1,6780.269855754425,375.9109360686168,linear_classical,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,nan
A3_leo_100km,101.61433918643861,0.015038272507132407,92.41425159967986,360.0,0.0,none,nan,0.5,1,6780.269855754425,375.9109360686168,nonlinear_minus_linear,8.0,17.0,11.0,327.33671457465937,0.0014731740645648195,0.0037554998004498685,0.029692192950316887,nan,nan,0.029692192950316887,0.7142984701706564
A3_leo_100km,101.61433918643861,0.015038272507132407,92.41425159967986,360.0,0.0,none,nan,2.0,1,6756.833077640677,347.69440231337677,nonlinear,6.0,10.0,8.0,526.294036292664,0.003092699451673564,0.003984800387686782,0.048000801999271925,nan,nan,0.048000801999271925,0.5057499800893481
A3_leo_100km,101.61433918643861,0.015038272507132407,92.41425159967986,360.0,0.0,none,nan,2.0,1,6756.833077640677,347.69440231337677,linear_classical,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,nan
A3_leo_100km,101.61433918643861,0.015038272507132407,92.41425159967986,360.0,0.0,none,nan,2.0,1,6756.833077640677,347.69440231337677,nonlinear_minus_linear,6.0,10.0,8.0,526.294036292664,0.003092699451673564,0.003984800387686782,0.048000801999271925,nan,nan,0.048000801999271925,0.5057499800893481
A3_leo_100km,101.61433918643861,0.015038272507132407,92.41425159967986,360.0,1.0,radial,36.0,0.5,1,6780.269855754425,375.9109360686168,nonlinear,8.0,17.0,11.0,330.2744948694458,0.0014731740645648195,0.0009628601303162121,0.029709784740397538,nan,nan,0.029709784740397538,0.6725241480286859
A3_leo_100km,101.61433918643861,0.015038272507132407,92.41425159967986,360.0,1.0,radial,36.0,0.5,1,6780.269855754425,375.9109360686168,linear_classical,40.0,53.0,43.0,25.179642890297657,0.0,0.002816310271577027,1.9495211596609607e-05,nan,nan,0.0030364897341081942,-0.25435377907140416
A3_leo_100km,101.61433918643861,0.015038272507132407,92.41425159967986,360.0,1.0,radial,36.0,0.5,1,6780.269855754425,375.9109360686168,nonlinear_minus_linear,8.0,17.0,11.0,327.3253890481135,0.0014731740645648195,0.0037791704018932393,0.02969028952880093,nan,nan,0.02969028952880093,0.7143964912456113
A3_leo_100km,101.61433918643861,0.015038272507132407,92.41425159967986,360.0,1.0,radial,36.0,2.0,1,6756.833077640677,347.69440231337677,nonlinear,6.0,10.0,8.0,527.8645418638718,0.003092699451673564,0.0026095025713530617,0.04800677932613562,nan,nan,0.04800677932613562,0.5049541761403935
A3_leo_100km,101.61433918643861,0.015038272507132407,92.41425159967986,360.0,1.0,radial,36.0,2.0,1,6756.833077640677,347.69440231337677,linear_classical,44.0,nan,48.0,12.685744465834592,0.0,0.0014249272699853321,9.80552704588078e-06,nan,nan,0.0015315472952290854,-0.2368835593297298
A3_leo_100km,101.61433918643861,0.015038272507132407,92.41425159967986,360.0,1.0,radial,36.0,2.0,1,6756.833077640677,347.69440231337677,nonlinear_minus_linear,6.0,10.0,8.0,526.2652487629193,0.003092699451673564,0.004034429841338394,0.04799697379908974,nan,nan,0.04799697379908974,0.5067716941728196
A3_leo_100km,101.61433918643861,0.015038272507132407,92.41425159967986,360.0,10.0,prograde,36.0,0.5,1,6780.269855754425,375.9109360686168,nonlinear,8.0,17.0,11.0,443.37323847055205,0.0014731740645648195,0.0597074472233583,0.023370119629290365,nan,nan,0.061470319030140885,1.4417387002632902
A3_leo_100km,101.61433918643861,0.015038272507132407,92.41425159967986,360.0,10.0,prograde,36.0,0.5,1,6780.269855754425,375.9109360686168,linear_classical,38.0,39.0,39.0,395.46470646500256,0.0,0.0644041026824751,0.006571608454699174,nan,nan,0.06884414079220535,1.4787541345685171
A3_leo_100km,101.61433918643861,0.015038272507132407,92.41425159967986,360.0,10.0,prograde,36.0,0.5,1,6780.269855754425,375.9109360686168,nonlinear_minus_linear,8.0,17.0,11.0,333.429951383563,0.0014731740645648195,0.004696655459116794,0.02994172808398954,nan,nan,0.02994172808398954,0.8014939195886182
A3_leo_100km,101.61433918643861,0.015038272507132407,92.41425159967986,360.0,10.0,prograde,36.0,2.0,1,6756.833077640677,347.69440231337677,nonlinear,6.0,10.0,8.0,514.5893528274147,0.003092699451673564,0.029116077637705295,0.04265672569271395,nan,nan,0.04265672569271395,0.10777314493911631
A3_leo_100km,101.61433918643861,0.015038272507132407,92.41425159967986,360.0,10.0,prograde,36.0,2.0,1,6756.833077640677,347.69440231337677,linear_classical,39.0,41.0,40.0,247.36387165254504,0.0,0.03429910661314306,0.005608261906827394,nan,nan,0.040394965848656206,2.0456510700948836
A3_leo_100km,101.61433918643861,0.015038272507132407,92.41425159967986,360.0,10.0,prograde,36.0,2.0,1,6756.833077640677,347.69440231337677,nonlinear_minus_linear,6.0,10.0,8.0,534.243201732116,0.003092699451673564,0.0051830289754377645,0.04826498759954134,nan,nan,0.04826498759954134,0.566535668761064
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,92.41425159967986,360.0,0.0,none,nan,0.5,1,6794.317069902873,353.5038964608861,nonlinear,5.0,8.0,7.0,843.1499739844402,0.005142455406277779,0.010188613556326054,0.07536313319117394,nan,nan,0.07536313319117394,0.5304523371936879
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,92.41425159967986,360.0,0.0,none,nan,0.5,1,6794.317069902873,353.5038964608861,linear_classical,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,nan
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,92.41425159967986,360.0,0.0,none,nan,0.5,1,6794.317069902873,353.5038964608861,nonlinear_minus_linear,5.0,8.0,7.0,843.1499739844402,0.005142455406277779,0.010188613556326054,0.07536313319117394,nan,nan,0.07536313319117394,0.5304523371936879
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,92.41425159967986,360.0,0.0,none,nan,2.0,1,6764.260931522048,299.3598050380172,nonlinear,3.0,5.0,5.0,579.7993257370417,0.01147129743523001,0.013109533232370296,0.04473625281925031,nan,nan,0.05342962127402151,-0.1628551535611234
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,92.41425159967986,360.0,0.0,none,nan,2.0,1,6764.260931522048,299.3598050380172,linear_classical,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,nan
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,92.41425159967986,360.0,0.0,none,nan,2.0,1,6764.260931522048,299.3598050380172,nonlinear_minus_linear,3.0,5.0,5.0,579.7993257370417,0.01147129743523001,0.013109533232370296,0.04473625281925031,nan,nan,0.05342962127402151,-0.1628551535611234
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,92.41425159967986,360.0,1.0,radial,36.0,0.5,1,6794.317069902873,353.5038964608861,nonlinear,5.0,8.0,7.0,843.6883573444086,0.005142455406277779,0.009464010075421303,0.07531344243847116,nan,nan,0.07531344243847116,0.5234543047272368
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,92.41425159967986,360.0,1.0,radial,36.0,0.5,1,6794.317069902873,353.5038964608861,linear_classical,nan,nan,57.0,7.019792103916987,0.0,0.0007656751305060716,5.0254612866229564e-05,nan,nan,0.0008334545897739076,-0.44067046476278326
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,92.41425159967986,360.0,1.0,radial,36.0,0.5,1,6794.317069902873,353.5038964608861,nonlinear_minus_linear,5.0,8.0,7.0,843.138670761308,0.005142455406277779,0.010229685205927375,0.07536369705133739,nan,nan,0.07536369705133739,0.5308789097531412
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,92.41425159967986,360.0,1.0,radial,36.0,2.0,1,6764.260931522048,299.3598050380172,nonlinear,3.0,5.0,5.0,580.6799173480928,0.01147129743523001,0.013345496735733153,0.04471501404398737,nan,nan,0.05342962127402151,-0.13655351529212295
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,92.41425159967986,360.0,1.0,radial,36.0,2.0,1,6764.260931522048,299.3598050380172,linear_classical,nan,nan,155.0,3.5176125733261134,0.0,0.0003841081921160949,2.51703098266276e-05,nan,nan,0.00041783326642041985,-0.4355470976679559
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,92.41425159967986,360.0,1.0,radial,36.0,2.0,1,6764.260931522048,299.3598050380172,nonlinear_minus_linear,3.0,5.0,5.0,579.4599374262566,0.01147129743523001,0.012961388543617058,0.044740184353813994,nan,nan,0.05342962127402151,-0.14553111530240023
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,92.41425159967986,360.0,10.0,prograde,36.0,0.5,1,6794.317069902873,353.5038964608861,nonlinear,5.0,8.0,7.0,817.8051653651131,0.005142455406277779,0.008104207602729119,0.07128557309703343,nan,nan,0.07128557309703343,-0.306381547459842
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,92.41425159967986,360.0,10.0,prograde,36.0,0.5,1,6794.317069902873,353.5038964608861,linear_classical,39.0,42.0,41.0,164.31780096750873,0.0,0.019215990050989618,0.004475333253005864,nan,nan,0.024563389054972795,2.285764328496828
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,92.41425159967986,360.0,10.0,prograde,36.0,0.5,1,6794.317069902873,353.5038964608861,nonlinear_minus_linear,5.0,8.0,7.0,848.5610487284047,0.005142455406277779,0.011111782448260499,0.07576090635003929,nan,nan,0.07576090635003929,0.5673832929789139
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,92.41425159967986,360.0,10.0,prograde,36.0,2.0,1,6764.260931522048,299.3598050380172,nonlinear,3.0,5.0,5.0,565.4696154910112,0.01147129743523001,0.02009730189007186,0.0425041818876597,nan,nan,0.053476699689703366,-0.2958696428679001
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,92.41425159967986,360.0,10.0,prograde,36.0,2.0,1,6764.260931522048,299.3598050380172,linear_classical,41.0,46.0,44.0,91.05138414624439,0.0,0.009764715726588769,0.0027429036325470335,nan,nan,0.013274513370294727,2.485592325508191
A4_leo_300km_drift,301.49051405473836,0.04467117422622499,92.41425159967986,360.0,10.0,prograde,36.0,2.0,1,6764.260931522048,299.3598050380172,nonlinear_minus_linear,3.0,5.0,5.0,594.2059081417698,0.01147129743523001,0.010332586163483093,0.04524708552020673,nan,nan,0.05342962127402151,-0.06786352524457838
A5_leo_180deg,13572.600000000002,1.9565461826547998,92.41425159967986,360.0,0.0,none,nan,0.5,0,75.36037292809384,-6370.999254143812,nonlinear,1.0,3.0,3.0,5806.76892011652,0.014218905332302967,0.0008864270979964672,0.06282743889469611,nan,nan,3.007129913266634,-0.6582712955587302
A5_leo_180deg,13572.600000000002,1.9565461826547998,92.41425159967986,360.0,0.0,none,nan,0.5,0,75.36037292809384,-6370.999254143812,linear_classical,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,nan
A5_leo_180deg,13572.600000000002,1.9565461826547998,92.41425159967986,360.0,0.0,none,nan,0.5,0,75.36037292809384,-6370.999254143812,nonlinear_minus_linear,1.0,3.0,3.0,5806.76892011652,0.014218905332302967,0.0008864270979964672,0.06282743889469611,nan,nan,3.007129913266634,-0.6582712955587302
A5_leo_180deg,13572.600000000002,1.9565461826547998,92.41425159967986,360.0,0.0,none,nan,2.0,0,-802.1699381376264,nan,nonlinear,3.0,4.0,4.0,34028.70889319714,0.06264687155370385,2.674171275265085,2.2919492503071575,nan,nan,3.1218195118608802,1.2930223016587976
A5_leo_180deg,13572.600000000002,1.9565461826547998,92.41425159967986,360.0,0.0,none,nan,2.0,0,-802.1699381376264,nan,linear_classical,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,nan
A5_leo_180deg,13572.600000000002,1.9565461826547998,92.41425159967986,360.0,0.0,none,nan,2.0,0,-802.1699381376264,nan,nonlinear_minus_linear,3.0,4.0,4.0,34028.70889319714,0.06264687155370385,2.674171275265085,2.2919492503071575,nan,nan,3.1218195118608802,1.2930223016587976
A5_leo_180deg,13572.600000000002,1.9565461826547998,92.41425159967986,360.0,1.0,radial,36.0,0.5,0,75.36037292809384,-6370.999254143812,nonlinear,1.0,3.0,3.0,5806.96780415461,0.014218905332302967,0.0007490888564456455,0.0630256862353411,nan,nan,3.006966981078656,-0.6678135594836212
A5_leo_180deg,13572.600000000002,1.9565461826547998,92.41425159967986,360.0,1.0,radial,36.0,0.5,0,75.36037292809384,-6370.999254143812,linear_classical,nan,nan,nan,0.01414346574995309,0.0,1.2156112645378414e-06,6.173210831406095e-09,nan,nan,2.0009516892294243e-06,-0.4289795582359392
