alt1_km,alt2_km,da_km,di_deg,dv_hohmann_ms,dv_plane_at_hi_ms,dv_sequential_ms,dv_combined_burn2_ms,dv_combined_optsplit_ms,opt_split_frac_burn1,save_vs_seq_ms,save_vs_seq_pct
8000.0,8100.0,100.0,2.0,18.228367876237748,183.19133610465397,201.4197039808917,192.38081398748255,184.358924968809,0.38,17.06077901208272,8.47026317430257
8000.0,8100.0,100.0,5.0,18.228367876237748,457.8562778856602,476.08464576189795,466.6716059243724,458.56416855953523,0.18,17.520477202362713,3.6801180962944033
8000.0,8400.0,400.0,0.1,71.79522023510128,9.066533096964,80.86175333206528,72.91856514364764,72.37317582109597,0.49,8.488577510969307,10.497642162309148
8000.0,8400.0,400.0,0.25,71.79522023510128,22.666317638687694,94.46153787378898,78.32958183408195,75.33468635761544,0.49,19.126851516173545,20.248295704998075
8000.0,8400.0,400.0,0.5,71.79522023510128,45.33252739374326,117.12774762884455,93.64627111175324,85.07365022677129,0.49,32.05409740207325,27.366783747644977
8000.0,8400.0,400.0,1.0,71.79522023510128,90.66419172151036,162.45941195661163,133.19691193193557,116.12685921140452,0.48,46.33255274520711,28.519463530731752
8000.0,8400.0,400.0,2.0,71.79522023510128,181.32147901380043,253.1166992489017,220.22414541431786,196.11231693651075,0.46,57.00438231239096,22.520988335240514
8000.0,8400.0,400.0,5.0,71.79522023510128,453.18288106460517,524.9781012997064,489.05522317687854,461.12820945300587,0.33,63.84989184670053,12.162391476639721
8000.0,8600.0,600.0,0.1,106.6028166810676,9.00576883685814,115.60858551792573,107.35434653931898,106.99022414698533,0.49,8.618361370940406,7.45477624549267
8000.0,8600.0,600.0,0.25,106.6028166810676,22.514407089648785,129.11722377071638,111.13912806683113,109.00151684378363,0.49,20.115706926932745,15.579414070003386
8000.0,8600.0,600.0,0.5,106.6028166810676,45.028707018705774,151.63152369977337,122.99157943732828,115.90002940257844,0.49,35.73149429719493,23.564687226874007
8000.0,8600.0,600.0,1.0,106.6028166810676,90.05655675573739,196.65937343680497,157.68396114537882,140.13296601625314,0.48,56.526407420551834,28.74330698440681
8000.0,8600.0,600.0,2.0,106.6028166810676,180.10625535600968,286.70907203707725,240.4347315860116,210.80699656589815,0.47,75.9020754711791,26.4735520686152
8000.0,8600.0,600.0,5.0,106.6028166810676,450.145631636844,556.7484483179115,504.5292601326368,466.2288937426089,0.37,90.51955457530266,16.258609224468763
8000.0,9000.0,1000.0,0.1,174.14573595222188,8.887817719151114,183.033553671373,174.5942664850463,174.3798746557724,0.48,8.653679015600602,4.727919467234856
8000.0,9000.0,1000.0,0.25,174.14573595222188,22.21952949187319,196.3652654440951,176.9120149016232,175.60396982564293,0.48,20.761295618452152,10.57279431344382
8000.0,9000.0,1000.0,0.5,174.14573595222188,44.43895322666735,218.58468917888922,184.73829149319351,179.9076189382757,0.48,38.67707024061352,17.694318108877372
8000.0,9000.0,1000.0,1.0,174.14573595222188,88.87706039972262,263.0227963519445,211.17409943740472,196.17874547468404,0.48,66.84405087726049,25.413786106896247
8000.0,9000.0,1000.0,2.0,174.14573595222188,177.74735246719428,351.89308841941613,284.05279056679916,250.89073259696636,0.47,101.00235582244977,28.702568804666765
8000.0,9000.0,1000.0,5.0,174.14573595222188,444.24994617740856,618.3956821296305,536.6553446874681,483.1772235974376,0.4,135.21845853219287,21.866009488702712
8000.0,10000.0,2000.0,0.1,331.8229895709659,8.612090720696807,340.4350802916627,332.0425459573159,331.9417457228933,0.46,8.493334568769399,2.4948470532158025
8000.0,10000.0,2000.0,0.25,331.8229895709659,21.530212455064483,353.3532020260304,333.1904097650862,332.5645132753948,0.46,20.788688750635572,5.883260327468078
8000.0,10000.0,2000.0,0.5,331.8229895709659,43.06032243395453,374.8833120049204,337.2261203052532,334.7791389936765,0.46,40.104173011243915,10.697774941424317
8000.0,10000.0,2000.0,1.0,331.8229895709659,86.11982506144003,417.9428146324059,352.48495278090945,343.49364442378425,0.46,74.44917020862164,17.813243248146776
8000.0,10000.0,2000.0,2.0,331.8229895709659,172.23309176477517,504.05608133574106,403.8168517709779,376.31809025167627,0.45,127.73799108406479,25.342019631141245
8000.0,10000.0,2000.0,5.0,331.8229895709659,430.4679686331297,762.2909582040957,622.2783784429878,553.4607326727755,0.42,208.83022553132014,27.395081009921668
-1,-1,-1,-1,1.0,0.1,1.1,1.004987562112089,1.004987562112089,-1,0.09501243788791114,8.637494353446462
-1,-1,-1,-1,1.0,0.25,1.25,1.0307764064044151,1.0307764064044151,-1,0.21922359359558485,17.537887487646785
-1,-1,-1,-1,1.0,0.5,1.5,1.118033988749895,1.118033988749895,-1,0.3819660112501051,25.46440075000701
-1,-1,-1,-1,1.0,0.75,1.75,1.25,1.25,-1,0.5,28.57142857142857
-1,-1,-1,-1,1.0,1.0,2.0,1.4142135623730951,1.4142135623730951,-1,0.5857864376269049,29.28932188134524
-1,-1,-1,-1,1.0,1.5,2.5,1.8027756377319946,1.8027756377319946,-1,0.6972243622680054,27.88897449072022
-1,-1,-1,-1,1.0,2.0,3.0,2.23606797749979,2.23606797749979,-1,0.7639320225002102,25.46440075000701
