   sep_km     dI     dv   ax   orb |     sig_rng   sig_inpl  sig_plane   pl/rng   rng/rho
     50.0  0.010   25.0  nor  1.00 |       53.72      8.907     11.012   0.2050  1.07e-03
     50.0  0.010   25.0  nor  3.00 |       46.65      4.551      4.742   0.1017  9.33e-04
     50.0  0.050    0.0    -  1.00 |     7459.55      8.877      7.727   0.0010  1.49e-01
     50.0  0.050    0.0    -  3.00 |     1511.59      5.112      4.274   0.0028  3.02e-02
     50.0  0.050    1.0  pro  1.00 |      525.38     18.835      7.696   0.0146  1.05e-02
     50.0  0.050    1.0  pro  3.00 |      164.47      5.661      4.913   0.0299  3.29e-03
     50.0  0.050    1.0  nor  1.00 |      824.07      8.880     10.447   0.0127  1.65e-02
     50.0  0.050    1.0  nor  3.00 |      805.59      4.872      4.804   0.0060  1.61e-02
     50.0  0.050    5.0  pro  1.00 |      142.07     19.275      8.268   0.0582  2.84e-03
     50.0  0.050    5.0  pro  3.00 |       67.27      6.743      5.858   0.0871  1.35e-03
     50.0  0.050    5.0  nor  1.00 |      174.70      8.887     10.957   0.0627  3.49e-03
     50.0  0.050    5.0  nor  3.00 |      153.14      4.855      4.678   0.0305  3.06e-03
     50.0  0.050   25.0  pro  1.00 |       65.10     20.033      8.541   0.1312  1.30e-03
     50.0  0.050   25.0  pro  3.00 |       52.56      7.168      6.409   0.1220  1.05e-03
     50.0  0.050   25.0  nor  1.00 |       50.07      8.945     11.097   0.2216  1.00e-03
     50.0  0.050   25.0  nor  3.00 |       49.14      4.427      4.791   0.0975  9.83e-04
     50.0  0.250    0.0    -  1.00 |     2322.56      9.317      8.478   0.0037  4.65e-02
     50.0  0.250    0.0    -  3.00 |      799.56      4.434      4.590   0.0057  1.60e-02
     50.0  0.250    1.0  pro  1.00 |      515.38     18.380      8.613   0.0167  1.03e-02
     50.0  0.250    1.0  pro  3.00 |       96.67      4.451      5.248   0.0543  1.93e-03
     50.0  0.250    1.0  nor  1.00 |      873.43      9.169     11.343   0.0130  1.75e-02
     50.0  0.250    1.0  nor  3.00 |      788.93      3.835      5.086   0.0064  1.58e-02
     50.0  0.250    5.0  pro  1.00 |      140.03     19.220      9.235   0.0660  2.80e-03
     50.0  0.250    5.0  pro  3.00 |       41.99      5.279      6.293   0.1499  8.40e-04
     50.0  0.250    5.0  nor  1.00 |      208.06      9.158     13.636   0.0655  4.16e-03
     50.0  0.250    5.0  nor  3.00 |      224.08      3.914      5.425   0.0242  4.48e-03
     50.0  0.250   25.0  pro  1.00 |       63.21     19.900      9.759   0.1544  1.26e-03
     50.0  0.250   25.0  pro  3.00 |       39.50      5.741      6.945   0.1758  7.90e-04
     50.0  0.250   25.0  nor  1.00 |       43.05      9.247     14.138   0.3284  8.61e-04
     50.0  0.250   25.0  nor  3.00 |       61.80      4.009      5.473   0.0886  1.24e-03
     50.0  1.000    0.0    -  1.00 |      850.64     12.000     12.805   0.0151  1.70e-02
     50.0  1.000    0.0    -  3.00 |      399.59      4.357      6.971   0.0174  7.99e-03
     50.0  1.000    1.0  pro  1.00 |      534.18     18.277     13.381   0.0250  1.07e-02
     50.0  1.000    1.0  pro  3.00 |       82.57      4.678      7.602   0.0921  1.65e-03
     50.0  1.000    1.0  nor  1.00 |      727.00     11.751     14.722   0.0203  1.45e-02
     50.0  1.000    1.0  nor  3.00 |      403.22      4.305      7.301   0.0181  8.06e-03
     50.0  1.000    5.0  pro  1.00 |      158.06     21.672     14.211   0.0899  3.16e-03
     50.0  1.000    5.0  pro  3.00 |       26.20      5.629      9.031   0.3446  5.24e-04
     50.0  1.000    5.0  nor  1.00 |      335.03     11.487     22.761   0.0679  6.70e-03
     50.0  1.000    5.0  nor  3.00 |      324.65      4.237      8.912   0.0275  6.49e-03
     50.0  1.000   25.0  pro  1.00 |       66.09     22.298     14.784   0.2237  1.32e-03
     50.0  1.000   25.0  pro  3.00 |       32.04      6.415     10.399   0.3246  6.41e-04
     50.0  1.000   25.0  nor  1.00 |       68.16     11.689     26.134   0.3835  1.36e-03
     50.0  1.000   25.0  nor  3.00 |      108.83      4.552      9.751   0.0896  2.18e-03

    200.0  0.000    0.0    -  1.00 |    58483.18     65.912     29.236   0.0005  2.92e-01
    200.0  0.000    0.0    -  3.00 |     8454.79     29.787     16.940   0.0020  4.23e-02
    200.0  0.000    1.0  pro  1.00 |     8493.83     75.937     29.632   0.0035  4.25e-02
    200.0  0.000    1.0  pro  3.00 |     2860.52     20.844     17.760   0.0062  1.43e-02
    200.0  0.000    1.0  nor  1.00 |    14560.28     37.581     42.838   0.0029  7.28e-02
    200.0  0.000    1.0  nor  3.00 |     6597.64     26.179     17.473   0.0026  3.30e-02
    200.0  0.000    5.0  pro  1.00 |     2052.99     77.304     30.851   0.0150  1.03e-02
    200.0  0.000    5.0  pro  3.00 |      749.87     23.115     20.029   0.0267  3.75e-03
    200.0  0.000    5.0  nor  1.00 |     3007.51     35.028     43.558   0.0145  1.50e-02
    200.0  0.000    5.0  nor  3.00 |     2058.61     20.032     18.198   0.0088  1.03e-02
    200.0  0.000   25.0  pro  1.00 |      588.61     79.307     33.177   0.0564  2.94e-03
    200.0  0.000   25.0  pro  3.00 |      298.81     27.263     23.825   0.0797  1.49e-03
    200.0  0.000   25.0  nor  1.00 |      625.63     34.949     43.631   0.0697  3.13e-03
    200.0  0.000   25.0  nor  3.00 |      476.41     19.131     18.347   0.0385  2.38e-03
    200.0  0.010    0.0    -  1.00 |    54546.73     62.712     29.497   0.0005  2.73e-01
    200.0  0.010    0.0    -  3.00 |     8127.73     29.181     16.954   0.0021  4.06e-02
    200.0  0.010    1.0  pro  1.00 |     8481.32     75.845     29.639   0.0035  4.24e-02
    200.0  0.010    1.0  pro  3.00 |     2845.76     20.842     17.762   0.0062  1.42e-02
    200.0  0.010    1.0  nor  1.00 |    13668.11     37.252     40.771   0.0030  6.83e-02
    200.0  0.010    1.0  nor  3.00 |     7157.04     27.152     17.418   0.0024  3.58e-02
    200.0  0.010    5.0  pro  1.00 |     2052.84     77.299     30.852   0.0150  1.03e-02
    200.0  0.010    5.0  pro  3.00 |      749.40     23.112     20.029   0.0267  3.75e-03
    200.0  0.010    5.0  nor  1.00 |     2966.34     35.020     43.086   0.0145  1.48e-02
    200.0  0.010    5.0  nor  3.00 |     2163.46     20.041     18.253   0.0084  1.08e-02
    200.0  0.010   25.0  pro  1.00 |      588.61     79.307     33.177   0.0564  2.94e-03
    200.0  0.010   25.0  pro  3.00 |      298.76     27.261     23.825   0.0797  1.49e-03
    200.0  0.010   25.0  nor  1.00 |      622.58     34.950     43.530   0.0699  3.11e-03
    200.0  0.010   25.0  nor  3.00 |      483.84     19.094     18.360   0.0379  2.42e-03
    200.0  0.050    0.0    -  1.00 |    26918.05     43.025     30.792   0.0011  1.35e-01
    200.0  0.050    0.0    -  3.00 |     4870.10     23.922     17.063   0.0035  2.44e-02
    200.0  0.050    1.0  pro  1.00 |     8198.04     73.757     29.797   0.0036  4.10e-02
    200.0  0.050    1.0  pro  3.00 |     2552.59     20.812     17.791   0.0070  1.28e-02
    200.0  0.050    1.0  nor  1.00 |    10694.21     36.256     34.987   0.0033  5.35e-02
    200.0  0.050    1.0  nor  3.00 |     5928.74     25.446     17.013   0.0029  2.96e-02
    200.0  0.050    5.0  pro  1.00 |     2049.25     77.180     30.876   0.0151  1.02e-02
    200.0  0.050    5.0  pro  3.00 |      738.41     23.044     20.037   0.0271  3.69e-03
    200.0  0.050    5.0  nor  1.00 |     2810.28     34.991     41.369   0.0147  1.41e-02
    200.0  0.050    5.0  nor  3.00 |     2588.78     20.130     18.436   0.0071  1.29e-02
    200.0  0.050   25.0  pro  1.00 |      588.50     79.298     33.193   0.0564  2.94e-03
    200.0  0.050   25.0  pro  3.00 |      297.74     27.212     23.832   0.0800  1.49e-03
    200.0  0.050   25.0  nor  1.00 |      611.14     34.955     43.182   0.0707  3.06e-03
    200.0  0.050   25.0  nor  3.00 |      513.19     18.932     18.420   0.0359  2.57e-03
    200.0  0.250    0.0    -  1.00 |     6376.31     35.032     31.437   0.0049  3.19e-02
    200.0  0.250    0.0    -  3.00 |     1421.40     20.377     17.208   0.0121  7.11e-03
    200.0  0.250    1.0  pro  1.00 |     5221.24     52.957     31.288   0.0060  2.61e-02
    200.0  0.250    1.0  pro  3.00 |     1206.64     20.400     17.965   0.0149  6.03e-03
    200.0  0.250    1.0  nor  1.00 |     4879.89     34.957     29.613   0.0061  2.44e-02
    200.0  0.250    1.0  nor  3.00 |     1548.56     20.430     17.144   0.0111  7.74e-03
    200.0  0.250    5.0  pro  1.00 |     1973.16     74.638     31.410   0.0159  9.87e-03
    200.0  0.250    5.0  pro  3.00 |      578.19     21.989     20.185   0.0349  2.89e-03
    200.0  0.250    5.0  nor  1.00 |     2250.49     34.913     36.238   0.0161  1.13e-02
    200.0  0.250    5.0  nor  3.00 |     1892.29     19.901     17.502   0.0092  9.46e-03
    200.0  0.250   25.0  pro  1.00 |      585.95     79.088     33.583   0.0573  2.93e-03
    200.0  0.250   25.0  pro  3.00 |      276.15     26.163     24.001   0.0869  1.38e-03
    200.0  0.250   25.0  nor  1.00 |      572.72     34.996     42.662   0.0745  2.86e-03
    200.0  0.250   25.0  nor  3.00 |      624.43     17.829     18.842   0.0302  3.12e-03
    200.0  1.000    0.0    -  1.00 |     2423.11     36.292     34.731   0.0143  1.21e-02
    200.0  1.000    0.0    -  3.00 |      818.37     17.639     18.476   0.0226  4.09e-03
    200.0  1.000    1.0  pro  1.00 |     2387.94     38.505     35.307   0.0148  1.19e-02
    200.0  1.000    1.0  pro  3.00 |      677.92     17.684     19.270   0.0284  3.39e-03
    200.0  1.000    1.0  nor  1.00 |     2265.27     36.249     33.191   0.0147  1.13e-02
    200.0  1.000    1.0  nor  3.00 |      837.26     17.543     18.484   0.0221  4.19e-03
    200.0  1.000    5.0  pro  1.00 |     1631.26     62.980     36.185   0.0222  8.16e-03
    200.0  1.000    5.0  pro  3.00 |      303.28     18.333     21.674   0.0715  1.52e-03
    200.0  1.000    5.0  nor  1.00 |     1691.12     36.104     35.101   0.0208  8.46e-03
    200.0  1.000    5.0  nor  3.00 |      893.88     17.011     18.682   0.0209  4.47e-03
    200.0  1.000   25.0  pro  1.00 |      571.78     77.691     38.261   0.0669  2.86e-03
    200.0  1.000   25.0  pro  3.00 |      174.32     21.072     25.923   0.1487  8.72e-04
    200.0  1.000   25.0  nor  1.00 |      608.62     35.987     49.242   0.0809  3.04e-03
    200.0  1.000   25.0  nor  3.00 |      688.42     14.579     20.905   0.0304  3.44e-03

   1000.0  0.000    0.0    -  1.00 |    15141.80    329.412    146.055   0.0096  1.52e-02
   1000.0  0.000    0.0    -  3.00 |     3000.66    148.781     84.627   0.0282  3.00e-03
   1000.0  0.000    1.0  pro  1.00 |    15047.50    333.733    146.478   0.0097  1.51e-02
   1000.0  0.000    1.0  pro  3.00 |     3029.22    148.972     85.508   0.0282  3.03e-03
   1000.0  0.000    1.0  nor  1.00 |    15135.57    329.310    146.128   0.0097  1.51e-02
   1000.0  0.000    1.0  nor  3.00 |     3000.60    148.779     84.627   0.0282  3.00e-03
   1000.0  0.000    5.0  pro  1.00 |    14667.91    349.681    148.079   0.0101  1.47e-02
   1000.0  0.000    5.0  pro  3.00 |     3124.98    149.220     88.744   0.0284  3.13e-03
   1000.0  0.000    5.0  nor  1.00 |    14988.45    326.898    147.840   0.0099  1.50e-02
   1000.0  0.000    5.0  nor  3.00 |     2999.01    148.718     84.633   0.0282  3.00e-03
   1000.0  0.000   25.0  pro  1.00 |    12725.03    401.070    154.295   0.0121  1.27e-02
   1000.0  0.000   25.0  pro  3.00 |     3212.17    142.387    100.148   0.0312  3.22e-03
   1000.0  0.000   25.0  nor  1.00 |    12310.24    284.186    173.666   0.0141  1.23e-02
   1000.0  0.000   25.0  nor  3.00 |     2960.29    147.234     84.789   0.0286  2.96e-03
   1000.0  0.010    0.0    -  1.00 |    15140.11    329.382    146.061   0.0096  1.52e-02
   1000.0  0.010    0.0    -  3.00 |     3000.48    148.776     84.627   0.0282  3.00e-03
   1000.0  0.010    1.0  pro  1.00 |    15045.86    333.703    146.485   0.0097  1.51e-02
   1000.0  0.010    1.0  pro  3.00 |     3029.03    148.966     85.509   0.0282  3.03e-03
