LEO 500 km, rho0 = 5 km, i_t = 51.6 deg, sigma_beta = 1 mrad, 60 s cadence
box: 5 km / 1 m/s   plane box: 0.0417 deg pos (5.00 km) / 0.0075 deg vel

 v_tol      da_m   dI_deg    dv      axis  orb |     sig_rng    /box  sig_vrng   /vbox sig_plane  /plbox       gain
   0.5     300.7   0.0417   1.0       pro  3.0 |        4.39   0.001    0.0013   0.001     1.032  0.0002   8.78e+03
   0.5     300.7   0.0417   1.0       rad  1.0 |       18.63   0.004    0.0011   0.001     1.256  0.0003   6.09e+03
   0.5     300.7   0.0417   1.0       rad  3.0 |        8.99   0.002    0.0014   0.001     0.841  0.0002   2.09e+03
   0.5     300.7   0.0417   1.0       nor  1.0 |       14.77   0.003    0.0017   0.002     2.169  0.0004   9.69e+03
   0.5     300.7   0.0417   1.0       nor  3.0 |       11.93   0.002    0.0012   0.001     1.117  0.0002   1.19e+03
   0.5     300.7   0.0417   1.0  perp_los  1.0 |       15.03   0.003    0.0036   0.004     0.862  0.0002   9.35e+03
   0.5     300.7   0.0417   1.0  perp_los  3.0 |        4.72   0.001    0.0005   0.000     0.621  0.0001   7.59e+03
   0.5     300.7   0.1000   0.0         -  1.0 |      791.32   0.158    0.0742   0.074     1.443  0.0003          1
   0.5     300.7   0.1000   0.0         -  3.0 |      307.64   0.062    0.0291   0.029     1.045  0.0002          1
   0.5     300.7   0.1000   1.0       pro  1.0 |       20.61   0.004    0.0016   0.002     1.842  0.0004   1.47e+03
   0.5     300.7   0.1000   1.0       pro  3.0 |        3.39   0.001    0.0014   0.001     1.316  0.0003   8.25e+03
   0.5     300.7   0.1000   1.0       rad  1.0 |       20.53   0.004    0.0012   0.001     1.627  0.0003   1.49e+03
   0.5     300.7   0.1000   1.0       rad  3.0 |        8.32   0.002    0.0013   0.001     1.029  0.0002   1.37e+03
   0.5     300.7   0.1000   1.0       nor  1.0 |       18.55   0.004    0.0021   0.002     2.811  0.0006   1.82e+03
   0.5     300.7   0.1000   1.0       nor  3.0 |       17.45   0.003    0.0017   0.002     1.514  0.0003        311
   0.5     300.7   0.1000   1.0  perp_los  1.0 |       18.14   0.004    0.0041   0.004     1.218  0.0002    1.9e+03
   0.5     300.7   0.1000   1.0  perp_los  3.0 |        4.61   0.001    0.0005   0.001     0.803  0.0002   4.46e+03
   0.5     300.7   0.2500   0.0         -  1.0 |      302.46   0.060    0.0208   0.021     2.143  0.0004          1
   0.5     300.7   0.2500   0.0         -  3.0 |      151.87   0.030    0.0107   0.011     1.541  0.0003          1
   0.5     300.7   0.2500   1.0       pro  1.0 |       24.21   0.005    0.0019   0.002     2.541  0.0005        156
   0.5     300.7   0.2500   1.0       pro  3.0 |        3.71   0.001    0.0017   0.002     1.840  0.0004   1.68e+03
   0.5     300.7   0.2500   1.0       rad  1.0 |       25.30   0.005    0.0018   0.002     2.346  0.0005        143
